,万得全A
,881001.WI
日期,收盘价
Date,close
2008-09-01,1748.1185
2008-09-02,1738.8132
2008-09-03,1716.3032
2008-09-04,1721.2094
2008-09-05,1662.0713
2008-09-08,1608.1196
2008-09-09,1618.4464
2008-09-10,1625.1553
2008-09-11,1579.8145
2008-09-12,1582.6263
2008-09-16,1533.5214
2008-09-17,1486.5234
2008-09-18,1453.3866
2008-09-19,1590.3312
2008-09-22,1679.5824
2008-09-23,1601.7056
2008-09-24,1618.7000
2008-09-25,1675.3915
2008-09-26,1686.1022
2008-10-06,1608.1893
2008-10-07,1593.7000
2008-10-08,1540.7529
2008-10-09,1521.5822
2008-10-10,1445.8997
2008-10-13,1497.3610
2008-10-14,1456.8213
2008-10-15,1443.6514
2008-10-16,1371.4117
2008-10-17,1382.6130
2008-10-20,1428.9537
2008-10-21,1418.5533
2008-10-22,1384.9044
2008-10-23,1386.8010
2008-10-24,1352.1517
2008-10-27,1254.2893
2008-10-28,1290.2927
2008-10-29,1251.1436
2008-10-30,1276.6953
2008-10-31,1251.9540
2008-11-03,1242.5164
2008-11-04,1224.8977
2008-11-05,1269.8339
2008-11-06,1242.4136
2008-11-07,1263.4465
2008-11-10,1356.4547
2008-11-11,1341.7775
2008-11-12,1362.1101
2008-11-13,1418.5471
2008-11-14,1473.3234
2008-11-17,1517.0703
2008-11-18,1406.0109
2008-11-19,1495.3405
2008-11-20,1484.1514
2008-11-21,1473.2891
2008-11-24,1412.4614
2008-11-25,1407.3141
2008-11-26,1415.0844
2008-11-27,1436.2472
2008-11-28,1410.1641
2008-12-01,1445.2114
2008-12-02,1454.6228
2008-12-03,1516.3572
2008-12-04,1534.5244
2008-12-05,1562.1953
2008-12-08,1625.7947
2008-12-09,1584.5430
2008-12-10,1627.9438
2008-12-11,1585.9695
2008-12-12,1518.5996
2008-12-15,1535.2996
2008-12-16,1553.1232
2008-12-17,1562.9390
2008-12-18,1594.6024
2008-12-19,1603.7252
2008-12-22,1585.9991
2008-12-23,1502.5857
2008-12-24,1475.2223
2008-12-25,1466.4025
2008-12-26,1460.0336
2008-12-29,1457.9377
2008-12-30,1444.7640
2008-12-31,1430.7930
2009-01-05,1486.1136
2009-01-06,1533.1956
2009-01-07,1530.2023
2009-01-08,1496.3386
2009-01-09,1526.0046
2009-01-12,1532.6343
2009-01-13,1495.7859
2009-01-14,1557.2196
2009-01-15,1562.3286
2009-01-16,1584.4375
2009-01-19,1596.2539
2009-01-20,1609.8495
2009-01-21,1605.8326
2009-01-22,1626.0684
2009-01-23,1618.8582
2009-02-02,1648.2607
2009-02-03,1689.7445
2009-02-04,1731.1626
2009-02-05,1715.0173
2009-02-06,1784.7722
2009-02-09,1834.1404
2009-02-10,1865.4177
2009-02-11,1870.3260
2009-02-12,1874.5706
2009-02-13,1939.6035
2009-02-16,1985.5150
2009-02-17,1918.4017
2009-02-18,1835.2311
2009-02-19,1860.3833
2009-02-20,1904.6025
2009-02-23,1959.8970
2009-02-24,1873.5916
2009-02-25,1876.9362
2009-02-26,1772.6082
2009-02-27,1711.6703
2009-03-02,1737.5874
2009-03-03,1730.1986
2009-03-04,1841.6871
2009-03-05,1857.4594
2009-03-06,1843.6450
2009-03-09,1772.0095
2009-03-10,1807.3876
2009-03-11,1794.2286
2009-03-12,1793.2810
2009-03-13,1782.4777
2009-03-16,1810.2043
2009-03-17,1874.5575
2009-03-18,1887.0389
2009-03-19,1927.8315
2009-03-20,1923.4618
2009-03-23,1968.6940
2009-03-24,1981.0220
2009-03-25,1937.1666
2009-03-26,1995.1011
2009-03-27,2011.5227
2009-03-30,2006.5820
2009-03-31,2026.4078
2009-04-01,2057.6682
2009-04-02,2073.1357
2009-04-03,2063.1602
2009-04-07,2074.1763
2009-04-08,1997.9828
2009-04-09,2030.7097
2009-04-10,2093.5957
2009-04-13,2136.5420
2009-04-14,2160.8674
2009-04-15,2177.2383
2009-04-16,2180.7097
2009-04-17,2152.6477
2009-04-20,2202.3171
2009-04-21,2184.1729
2009-04-22,2096.0049
2009-04-23,2109.4617
2009-04-24,2092.3784
2009-04-27,2033.5148
2009-04-28,2044.0090
2009-04-29,2106.6289
2009-04-30,2126.0664
2009-05-04,2197.8037
2009-05-05,2212.7683
2009-05-06,2243.7720
2009-05-07,2239.5510
2009-05-08,2253.5981
2009-05-11,2192.4109
2009-05-12,2243.9802
2009-05-13,2262.6072
2009-05-14,2254.4841
2009-05-15,2261.9434
2009-05-18,2274.1082
2009-05-19,2295.6641
2009-05-20,2275.3721
2009-05-21,2228.4836
2009-05-22,2225.3162
2009-05-25,2233.5203
2009-05-26,2219.7119
2009-05-27,2241.2397
2009-06-01,2305.3772
2009-06-02,2313.6648
2009-06-03,2356.5671
2009-06-04,2363.4028
2009-06-05,2352.8701
2009-06-08,2354.9443
2009-06-09,2368.0840
2009-06-10,2392.5452
2009-06-11,2375.4102
2009-06-12,2330.6055
2009-06-15,2373.0356
2009-06-16,2370.2083
2009-06-17,2406.8809
2009-06-18,2436.4673
2009-06-19,2450.0464
2009-06-22,2444.9011
2009-06-23,2442.7095
2009-06-24,2473.3696
2009-06-25,2471.8921
2009-06-26,2480.6362
2009-06-29,2513.2686
2009-06-30,2500.6418
2009-07-01,2547.8818
2009-07-02,2579.7644
2009-07-03,2611.1880
2009-07-06,2643.4385
2009-07-07,2626.6260
2009-07-08,2635.5596
2009-07-09,2675.8687
2009-07-10,2680.2454
2009-07-13,2668.1433
2009-07-14,2730.0032
2009-07-15,2755.8210
2009-07-16,2754.8064
2009-07-17,2764.6948
2009-07-20,2815.5415
2009-07-21,2768.6079
2009-07-22,2816.3367
2009-07-23,2849.4561
2009-07-24,2852.0144
2009-07-27,2911.2957
2009-07-28,2928.2188
2009-07-29,2775.7808
2009-07-30,2828.9719
2009-07-31,2907.0378
2009-08-03,2953.0107
2009-08-04,2959.7620
2009-08-05,2938.4719
2009-08-06,2884.1853
2009-08-07,2802.2051
2009-08-10,2804.4341
2009-08-11,2817.3872
2009-08-12,2693.9119
2009-08-13,2714.8540
2009-08-14,2625.5500
2009-08-17,2463.0603
2009-08-18,2494.3069
2009-08-19,2377.7710
2009-08-20,2471.5894
2009-08-21,2523.7246
2009-08-24,2551.7378
2009-08-25,2477.8884
2009-08-26,2535.0442
2009-08-27,2538.0938
2009-08-28,2460.3240
2009-08-31,2290.3669
2009-09-01,2294.5708
2009-09-02,2321.7961
