,标普500,,,日经225,,,上证综指
,SPX.GI,,,N225.GI,,,000001.SH
日期,收盘价,,日期,收盘价,,日期,收盘价
Date,close,,Date,close,,Date,close
2007-12-12,10948.2894,,2007-12-12,1057.9817,,2007-12-12,5095.5430
2007-12-13,10949.9347,,2007-12-13,1021.1222,,2007-12-13,4958.0430
2007-12-14,10802.4973,,2007-12-14,1014.9748,,2007-12-14,5007.9110
2007-12-17,10669.2961,,2007-12-17,993.3256,,2007-12-17,4876.7610
2007-12-18,10730.6230,,2007-12-18,992.7843,,2007-12-18,4836.1740
2007-12-19,10708.3194,,2007-12-19,977.1184,,2007-12-19,4941.7840
2007-12-20,10753.6378,,2007-12-20,977.1442,,2007-12-20,5043.5350
2007-12-21,10921.4691,,2007-12-21,992.4373,,2007-12-21,5101.7790
2007-12-24,10971.2232,,2007-12-24,979.7435,,2007-12-24,5234.2620
2007-12-25,10963.1423,,2007-12-25,998.5540,,2007-12-25,5201.1810
2007-12-26,10977.5483,,2007-12-26,1005.9434,,2007-12-26,5233.3510
2007-12-27,10789.1643,,2007-12-27,994.8483,,2007-12-27,5308.8890
2007-12-28,10799.7781,,2007-12-28,980.6776,,2007-12-28,5261.5630
2008-01-02,10563.6891,,2008-01-02,999.6899,,2008-01-02,5272.8140
2008-01-03,10531.7069,,2008-01-03,1017.3244,,2008-01-03,5319.8610
2008-01-04,10273.7020,,2008-01-04,978.8299,,2008-01-04,5361.5740
2008-01-07,10294.9205,,2008-01-07,968.2742,,2008-01-07,5393.3430
2008-01-08,10119.3320,,2008-01-08,968.5974,,2008-01-08,5386.5310
2008-01-09,10247.6161,,2008-01-09,973.5888,,2008-01-09,5435.8070
2008-01-10,10340.7126,,2008-01-10,951.9030,,2008-01-10,5456.5410
2008-01-11,10181.4925,,2008-01-11,934.7411,,2008-01-11,5484.6770
2008-01-14,10277.1598,,2008-01-14,940.4136,,2008-01-14,5497.9010
2008-01-15,10005.5351,,2008-01-15,936.9906,,2008-01-15,5443.7910
2008-01-16,9944.4398,,2008-01-16,917.1588,,2008-01-16,5290.6060
2008-01-17,9672.0621,,2008-01-17,933.7185,,2008-01-17,5151.6260
2008-01-18,9617.0363,,2008-01-18,942.4568,,2008-01-18,5180.5140
2008-01-21,9620.6144,,2008-01-21,904.9113,,2008-01-21,4914.4350
2008-01-22,9508.4638,,2008-01-22,861.3797,,2008-01-22,4559.7510
2008-01-23,9684.7710,,2008-01-23,868.0655,,2008-01-23,4703.0470
2008-01-24,9774.5197,,2008-01-24,885.7920,,2008-01-24,4717.7340
2008-01-25,9589.0410,,2008-01-25,916.7791,,2008-01-25,4761.6880
2008-01-28,9748.0424,,2008-01-28,882.0335,,2008-01-28,4419.2940
2008-01-29,9811.2846,,2008-01-29,908.8930,,2008-01-29,4457.9440
2008-01-30,9761.5608,,2008-01-30,898.5876,,2008-01-30,4417.8490
2008-01-31,9905.2953,,2008-01-31,918.3073,,2008-01-31,4383.3930
2008-02-01,10033.4884,,2008-02-01,911.4632,,2008-02-01,4320.7670
2008-02-04,9931.2717,,2008-02-04,933.4508,,2008-02-04,4672.1700
2008-02-05,9603.2237,,2008-02-05,925.1959,,2008-02-05,4599.6960
2008-02-13,9837.3494,,2008-02-13,875.5892,,2008-02-13,4490.7210
2008-02-14,9696.9545,,2008-02-14,905.2868,,2008-02-14,4552.3160
2008-02-15,9687.9332,,2008-02-15,905.8049,,2008-02-15,4497.1270
2008-02-18,9674.9733,,2008-02-18,906.0451,,2008-02-18,4568.1510
2008-02-19,9653.7580,,2008-02-19,910.0032,,2008-02-19,4664.2950
2008-02-20,9717.6864,,2008-02-20,881.2530,,2008-02-20,4567.0260
2008-02-21,9599.4923,,2008-02-21,905.7124,,2008-02-21,4527.1770
2008-02-22,9669.7300,,2008-02-22,897.1866,,2008-02-22,4370.2850
2008-02-25,9802.8828,,2008-02-25,925.7781,,2008-02-25,4192.5330
2008-02-26,9876.9141,,2008-02-26,915.0167,,2008-02-26,4238.1790
2008-02-27,9860.9329,,2008-02-27,934.6109,,2008-02-27,4334.0470
2008-02-28,9739.1125,,2008-02-28,933.0231,,2008-02-28,4299.5130
2008-02-29,9455.1907,,2008-02-29,923.0737,,2008-02-29,4348.5430
2008-03-03,9460.2358,,2008-03-03,896.0966,,2008-03-03,4438.2650
2008-03-04,9443.1431,,2008-03-04,895.1031,,2008-03-04,4335.4460
2008-03-05,9492.2096,,2008-03-05,892.8020,,2008-03-05,4292.6540
2008-03-06,9282.7269,,2008-03-06,906.3928,,2008-03-06,4360.9860
2008-03-07,9194.5673,,2008-03-07,883.5855,,2008-03-07,4300.5150
2008-03-10,9051.1140,,2008-03-10,870.6321,,2008-03-10,4146.2990
2008-03-11,9380.4449,,2008-03-11,884.8138,,2008-03-11,4165.8780
2008-03-12,9301.2975,,2008-03-12,886.8006,,2008-03-12,4070.1160
2008-03-13,9335.9616,,2008-03-13,867.9536,,2008-03-13,3971.2570
2008-03-14,9130.5939,,2008-03-14,859.2501,,2008-03-14,3962.6730
2008-03-17,9040.2429,,2008-03-17,856.3508,,2008-03-17,3820.0480
2008-03-18,9430.9544,,2008-03-18,874.1733,,2008-03-18,3668.8970
2008-03-19,9173.0776,,2008-03-19,869.0813,,2008-03-19,3761.6050
2008-03-20,9374.6409,,2008-03-20,873.9855,,2008-03-20,3804.0540
2008-03-21,9385.4099,,2008-03-21,885.0267,,2008-03-21,3796.5760
2008-03-24,9519.0838,,2008-03-24,881.4812,,2008-03-24,3626.1880
2008-03-25,9529.9204,,2008-03-25,891.3497,,2008-03-25,3629.6190
2008-03-26,9421.7065,,2008-03-26,894.1020,,2008-03-26,3606.8570
2008-03-27,9297.5549,,2008-03-27,894.6983,,2008-03-27,3411.4930
2008-03-28,9224.5585,,2008-03-28,905.4329,,2008-03-28,3580.1460
2008-03-31,9284.0313,,2008-03-31,879.3430,,2008-03-31,3472.7130
2008-04-01,9621.1299,,2008-04-01,890.2652,,2008-04-01,3329.1620
2008-04-02,9612.6419,,2008-04-02,910.1318,,2008-04-02,3347.8820
2008-04-03,9611.4608,,2008-04-03,918.8685,,2008-04-03,3446.2440
2008-04-07,9610.5251,,2008-04-07,922.7799,,2008-04-07,3599.6180
2008-04-08,9560.8283,,2008-04-08,906.0247,,2008-04-08,3612.5390
2008-04-09,9484.8162,,2008-04-09,894.7685,,2008-04-09,3413.9070
2008-04-10,9512.9656,,2008-04-10,892.5914,,2008-04-10,3471.7430
2008-04-11,9331.4094,,2008-04-11,915.4735,,2008-04-11,3492.8930
2008-04-14,9297.3102,,2008-04-14,891.3469,,2008-04-14,3296.6720
2008-04-15,9336.0726,,2008-04-15,898.7533,,2008-04-15,3348.3530
2008-04-16,9559.3841,,2008-04-16,904.1645,,2008-04-16,3291.5990
2008-04-17,9544.5816,,2008-04-17,919.1904,,2008-04-17,3222.7410
2008-04-18,9733.1442,,2008-04-18,920.0238,,2008-04-18,3094.6680
2008-04-21,9728.0177,,2008-04-21,923.2707,,2008-04-21,3116.9770
2008-04-22,9619.4717,,2008-04-22,918.5016,,2008-04-22,3147.7930
2008-04-23,9637.0171,,2008-04-23,920.4769,,2008-04-23,3278.3300
2008-04-24,9706.4630,,2008-04-24,915.6472,,2008-04-24,3583.0280
2008-04-25,9777.7510,,2008-04-25,929.4486,,2008-04-25,3557.7490
2008-04-28,9771.7973,,2008-04-28,928.8108,,2008-04-28,3474.7220
2008-04-29,9722.3924,,2008-04-29,932.5345,,2008-04-29,3523.4050
2008-04-30,9699.4071,,2008-04-30,931.1210,,2008-04-30,3693.1060
2008-05-05,9854.6820,,2008-05-05,932.7866,,2008-05-05,3761.0090
2008-05-06,9911.9355,,2008-05-06,936.7204,,2008-05-06,3733.5030
2008-05-07,9726.8229,,2008-05-07,939.4226,,2008-05-07,3579.1470
2008-05-08,9785.1577,,2008-05-08,931.2424,,2008-05-08,3656.8390
2008-05-09,9718.6541,,2008-05-09,920.9025,,2008-05-09,3613.4940
2008-05-12,9799.7956,,2008-05-12,932.7481,,2008-05-12,3626.9820
2008-05-13,9805.4256,,2008-05-13,938.6256,,2008-05-13,3560.2430
2008-05-14,9858.7887,,2008-05-14,942.5826,,2008-05-14,3657.4320
2008-05-15,9964.9900,,2008-05-15,947.6409,,2008-05-15,3637.3240
2008-05-16,9962.4838,,2008-05-16,948.9370,,2008-05-16,3624.2330
2008-05-19,9945.3231,,2008-05-19,955.5359,,2008-05-19,3604.7610
2008-05-20,9862.7052,,2008-05-20,947.2675,,2008-05-20,3443.1620
2008-05-21,9678.9244,,2008-05-21,936.3209,,2008-05-21,3544.1860
2008-05-22,9680.6932,,2008-05-22,943.7417,,2008-05-22,3485.6300
2008-05-23,9562.4383,,2008-05-23,935.3284,,2008-05-23,3473.0910
2008-05-26,9548.8166,,2008-05-26,920.6653,,2008-05-26,3364.5440
2008-05-27,9618.7621,,2008-05-27,933.2414,,2008-05-27,3375.4070
2008-05-28,9653.5423,,2008-05-28,913.3640,,2008-05-28,3459.0260
2008-05-29,9704.2041,,2008-05-29,935.6755,,2008-05-29,3401.4370
2008-05-30,9728.7199,,2008-05-30,942.2715,,2008-05-30,3433.3540
2008-06-02,9612.6699,,2008-06-02,950.8255,,2008-06-02,3459.0440
2008-06-03,9546.4257,,2008-06-03,943.2615,,2008-06-03,3436.3980
2008-06-04,9551.7083,,2008-06-04,952.3001,,2008-06-04,3369.9130
2008-06-05,9743.2646,,2008-06-05,944.3341,,2008-06-05,3351.6450
2008-06-06,9421.0762,,2008-06-06,946.4357,,2008-06-06,3329.6700
2008-06-10,9400.2690,,2008-06-10,908.5578,,2008-06-10,3072.3330
2008-06-11,9242.7927,,2008-06-11,913.6856,,2008-06-11,3024.2400
2008-06-12,9247.1128,,2008-06-12,895.6064,,2008-06-12,2957.5320
2008-06-13,9386.6551,,2008-06-13,893.6200,,2008-06-13,2868.8000
2008-06-16,9388.7744,,2008-06-16,915.2059,,2008-06-16,2874.1030
2008-06-17,9310.4745,,2008-06-17,913.4316,,2008-06-17,2794.7510
2008-06-18,9207.2098,,2008-06-18,921.7286,,2008-06-18,2941.1150
2008-06-19,9238.1333,,2008-06-19,902.6353,,2008-06-19,2748.8740
2008-06-20,9070.7850,,2008-06-20,888.3754,,2008-06-20,2831.7360
2008-06-23,9051.4968,,2008-06-23,886.6009,,2008-06-23,2760.4170
2008-06-24,9033.9037,,2008-06-24,881.6491,,2008-06-24,2803.0190
2008-06-25,9079.8187,,2008-06-25,881.1180,,2008-06-25,2905.0140
2008-06-26,8806.7717,,2008-06-26,878.6572,,2008-06-26,2901.8500
2008-06-27,8770.9652,,2008-06-27,869.1687,,2008-06-27,2748.4320
2008-06-30,8779.6480,,2008-06-30,869.1176,,2008-06-30,2736.1030
2008-07-01,8815.5105,,2008-07-01,869.5881,,2008-07-01,2651.6050
2008-07-02,8656.6764,,2008-07-02,860.0799,,2008-07-02,2651.7250
2008-07-03,8654.5274,,2008-07-03,857.6877,,2008-07-03,2703.5290
2008-07-04,8668.4193,,2008-07-04,851.6994,,2008-07-04,2669.8920
2008-07-07,8586.7140,,2008-07-07,857.7279,,2008-07-07,2792.3970
2008-07-08,8735.1620,,2008-07-08,834.9916,,2008-07-08,2814.9470
