,标普500,,,日经225,,,上证综指
,SPX.GI,,,N225.GI,,,000001.SH
日期,收盘价,,日期,收盘价,,日期,收盘价
Date,close,,Date,close,,Date,close
2010-09-30,7647.2953,,2010-09-30,749.5386,,2010-09-30,2655.6580
2010-10-08,7786.6975,,2010-10-08,777.0828,,2010-10-08,2738.7440
2010-10-11,7776.4134,,2010-10-11,779.3458,,2010-10-11,2806.9420
2010-10-12,7811.1392,,2010-10-12,762.7331,,2010-10-12,2841.4070
2010-10-13,7857.1023,,2010-10-13,766.1698,,2010-10-13,2861.3610
2010-10-14,7815.4617,,2010-10-14,782.1198,,2010-10-14,2879.6360
2010-10-15,7821.3106,,2010-10-15,774.5649,,2010-10-15,2971.1600
2010-10-18,7883.1788,,2010-10-18,776.9860,,2010-10-18,2955.2270
2010-10-19,7759.4143,,2010-10-19,781.8247,,2010-10-19,3001.8530
2010-10-20,7864.7560,,2010-10-20,769.4976,,2010-10-20,3003.9510
2010-10-21,7871.7441,,2010-10-21,771.1498,,2010-10-21,2983.5330
2010-10-22,7898.1238,,2010-10-22,774.7342,,2010-10-22,2975.0430
2010-10-25,7911.5237,,2010-10-25,772.9070,,2010-10-25,3051.4190
2010-10-26,7915.5698,,2010-10-26,775.4437,,2010-10-26,3041.5430
2010-10-27,7912.0094,,2010-10-27,770.7784,,2010-10-27,2997.0480
2010-10-28,7929.6687,,2010-10-28,768.9604,,2010-10-28,2992.5790
2010-10-29,7916.9560,,2010-10-29,760.5641,,2010-10-29,2978.8350
2010-11-01,7921.8441,,2010-11-01,759.7960,,2010-11-01,3054.0210
2010-11-02,7987.9672,,2010-11-02,760.3516,,2010-11-02,3045.4340
2010-11-03,8004.5291,,2010-11-03,759.0417,,2010-11-03,3030.9880
2010-11-04,8145.4470,,2010-11-04,768.8051,,2010-11-04,3086.9390
2010-11-05,8165.3869,,2010-11-05,791.8339,,2010-11-05,3129.4970
2010-11-08,8158.0989,,2010-11-08,799.4426,,2010-11-08,3159.5120
2010-11-09,8078.8172,,2010-11-09,794.8028,,2010-11-09,3135.0000
2010-11-10,8098.3280,,2010-11-10,799.4081,,2010-11-10,3115.3560
2010-11-11,8038.7317,,2010-11-11,794.2617,,2010-11-11,3147.7440
2010-11-12,7943.4471,,2010-11-12,781.8942,,2010-11-12,2985.4350
2010-11-15,7941.4418,,2010-11-15,789.7584,,2010-11-15,3014.4130
2010-11-16,7829.0088,,2010-11-16,782.8863,,2010-11-16,2894.5380
2010-11-17,7836.4449,,2010-11-17,782.1365,,2010-11-17,2838.8570
2010-11-18,7952.6034,,2010-11-18,799.9689,,2010-11-18,2865.4520
2010-11-19,7967.1670,,2010-11-19,796.5595,,2010-11-19,2888.5660
2010-11-22,7952.3400,,2010-11-22,803.9958,,2010-11-22,2884.3710
2010-11-23,7848.1942,,2010-11-23,806.7977,,2010-11-23,2828.2820
2010-11-24,7979.6928,,2010-11-24,801.4058,,2010-11-24,2859.9360
2010-11-25,7975.8581,,2010-11-25,803.8306,,2010-11-25,2898.2610
2010-11-26,7915.8138,,2010-11-26,797.9543,,2010-11-26,2871.6980
2010-11-29,7922.3592,,2010-11-29,802.7581,,2010-11-29,2866.3560
2010-11-30,7881.5879,,2010-11-30,787.9079,,2010-11-30,2820.1810
2010-12-01,8054.8591,,2010-12-01,797.6856,,2010-12-01,2823.4490
2010-12-02,8146.5057,,2010-12-02,805.8349,,2010-12-02,2843.6070
2010-12-03,8157.1810,,2010-12-03,809.6141,,2010-12-03,2842.4310
2010-12-06,8135.5827,,2010-12-06,816.2151,,2010-12-06,2857.1780
2010-12-07,8145.8919,,2010-12-07,817.2408,,2010-12-07,2875.8610
2010-12-08,8182.3100,,2010-12-08,815.5986,,2010-12-08,2848.5460
2010-12-09,8218.4382,,2010-12-09,816.9149,,2010-12-09,2810.9490
2010-12-10,8261.5602,,2010-12-10,811.4926,,2010-12-10,2841.0400
2010-12-13,8265.1850,,2010-12-13,817.3555,,2010-12-13,2922.9540
2010-12-14,8260.4224,,2010-12-14,821.5760,,2010-12-14,2927.0770
2010-12-15,8222.4320,,2010-12-15,818.4110,,2010-12-15,2911.4140
2010-12-16,8281.8642,,2010-12-16,815.5405,,2010-12-16,2898.1380
2010-12-17,8283.5699,,2010-12-17,816.8155,,2010-12-17,2893.7400
2010-12-20,8308.4211,,2010-12-20,809.2827,,2010-12-20,2852.9160
2010-12-21,8355.2596,,2010-12-21,824.6023,,2010-12-21,2904.1150
2010-12-22,8377.3284,,2010-12-22,821.5933,,2010-12-22,2877.9000
2010-12-23,8353.2475,,2010-12-23,822.9901,,2010-12-23,2855.2200
2010-12-24,8341.3082,,2010-12-24,820.8344,,2010-12-24,2835.1570
2010-12-27,8338.1190,,2010-12-27,827.8475,,2010-12-27,2781.4020
2010-12-28,8337.8805,,2010-12-28,824.7073,,2010-12-28,2732.9900
2010-12-29,8345.6646,,2010-12-29,832.2286,,2010-12-29,2751.5270
2010-12-30,8330.8135,,2010-12-30,832.6034,,2010-12-30,2759.5750
2010-12-31,8328.9724,,2010-12-31,831.2020,,2010-12-31,2808.0770
2011-01-04,8410.6293,,2011-01-04,842.0069,,2011-01-04,2852.6480
2011-01-05,8462.9545,,2011-01-05,839.3060,,2011-01-05,2838.5930
2011-01-06,8448.4280,,2011-01-06,838.6111,,2011-01-06,2824.1970
2011-01-07,8435.2582,,2011-01-07,839.2460,,2011-01-07,2838.8010
2011-01-10,8424.6643,,2011-01-10,843.0408,,2011-01-10,2791.8090
2011-01-11,8439.0968,,2011-01-11,839.6877,,2011-01-11,2804.0470
2011-01-12,8503.7963,,2011-01-12,834.6112,,2011-01-12,2821.3050
2011-01-13,8472.4309,,2011-01-13,841.2294,,2011-01-13,2827.7130
2011-01-14,8521.9343,,2011-01-14,835.9126,,2011-01-14,2791.3440
2011-01-17,8522.0636,,2011-01-17,834.3682,,2011-01-17,2706.6600
2011-01-18,8533.0163,,2011-01-18,837.7947,,2011-01-18,2708.9790
2011-01-19,8445.9299,,2011-01-19,841.3586,,2011-01-19,2758.0970
2011-01-20,8434.7370,,2011-01-20,836.6026,,2011-01-20,2677.6520
2011-01-21,8455.4798,,2011-01-21,816.0435,,2011-01-21,2715.2940
2011-01-24,8504.4412,,2011-01-24,824.1949,,2011-01-24,2695.7200
2011-01-25,8506.4230,,2011-01-25,834.3805,,2011-01-25,2677.4320
2011-01-26,8541.9391,,2011-01-26,833.1922,,2011-01-26,2708.8140
2011-01-27,8560.8497,,2011-01-27,840.7972,,2011-01-27,2749.1500
2011-01-28,8414.9096,,2011-01-28,824.9006,,2011-01-28,2752.7500
2011-01-31,8474.3733,,2011-01-31,821.3167,,2011-01-31,2790.6940
2011-02-01,8611.7877,,2011-02-01,824.1587,,2011-02-01,2798.9600
2011-02-09,8697.9948,,2011-02-09,849.8086,,2011-02-09,2774.0650
2011-02-10,8704.3818,,2011-02-10,846.7657,,2011-02-10,2818.1630
2011-02-11,8766.0101,,2011-02-11,839.9463,,2011-02-11,2827.3280
2011-02-14,8791.3135,,2011-02-14,849.9669,,2011-02-14,2899.1340
2011-02-15,8755.4371,,2011-02-15,850.3518,,2011-02-15,2899.2370
2011-02-16,8800.3354,,2011-02-16,850.1909,,2011-02-16,2923.8960
2011-02-17,8820.0294,,2011-02-17,852.6810,,2011-02-17,2926.9640
2011-02-18,8834.4541,,2011-02-18,855.8873,,2011-02-18,2899.7920
2011-02-21,8824.2472,,2011-02-21,858.1140,,2011-02-21,2932.2460
2011-02-22,8651.9120,,2011-02-22,846.2333,,2011-02-22,2855.5160
2011-02-23,8606.3527,,2011-02-23,840.2027,,2011-02-23,2862.6340
2011-02-24,8593.4850,,2011-02-24,835.5896,,2011-02-24,2878.6030
2011-02-25,8679.1349,,2011-02-25,844.8251,,2011-02-25,2878.5650
2011-02-28,8726.7369,,2011-02-28,854.8143,,2011-02-28,2905.0530
2011-03-01,8583.3719,,2011-03-01,862.7098,,2011-03-01,2918.9200
2011-03-02,8601.1612,,2011-03-02,842.3073,,2011-03-02,2913.8080
2011-03-03,8743.8074,,2011-03-03,849.9727,,2011-03-03,2902.9780
2011-03-04,8676.1242,,2011-03-04,852.7231,,2011-03-04,2942.3060
2011-03-07,8601.1345,,2011-03-07,837.3236,,2011-03-07,2996.2110
2011-03-08,8682.6390,,2011-03-08,840.3101,,2011-03-08,2999.9420
2011-03-09,8678.8675,,2011-03-09,840.1074,,2011-03-09,3002.1540
2011-03-10,8510.5563,,2011-03-10,828.1559,,2011-03-10,2957.1430
2011-03-11,8575.6410,,2011-03-11,813.0635,,2011-03-11,2933.7960
2011-03-14,8517.4119,,2011-03-14,770.8706,,2011-03-14,2937.6270
2011-03-15,8419.1940,,2011-03-15,690.4600,,2011-03-15,2896.2560
2011-03-16,8259.9640,,2011-03-16,736.7550,,2011-03-16,2930.8040
2011-03-17,8367.0667,,2011-03-17,741.5982,,2011-03-17,2897.2980
2011-03-18,8400.2506,,2011-03-18,745.4890,,2011-03-18,2906.8860
2011-03-21,8521.5276,,2011-03-21,746.4557,,2011-03-21,2909.1370
2011-03-22,8486.0962,,2011-03-22,778.3027,,2011-03-22,2919.1420
2011-03-23,8511.9922,,2011-03-23,764.7834,,2011-03-23,2948.4770
2011-03-24,8594.6438,,2011-03-24,764.7925,,2011-03-24,2946.7060
2011-03-25,8615.9004,,2011-03-25,772.1214,,2011-03-25,2977.8140
2011-03-28,8597.2047,,2011-03-28,762.2539,,2011-03-28,2984.0050
2011-03-29,8658.8250,,2011-03-29,760.9546,,2011-03-29,2958.0770
2011-03-30,8711.5260,,2011-03-30,772.2080,,2011-03-30,2955.7710
2011-03-31,8692.6718,,2011-03-31,769.5116,,2011-03-31,2928.1110
2011-04-01,8730.8830,,2011-04-01,762.4193,,2011-04-01,2967.4100
2011-04-06,8747.2528,,2011-04-06,737.6035,,2011-04-06,3001.3600
2011-04-07,8728.6231,,2011-04-07,734.8475,,2011-04-07,3007.9090
2011-04-08,8688.8881,,2011-04-08,750.6965,,2011-04-08,3030.0210
2011-04-11,8662.1008,,2011-04-11,747.7268,,2011-04-11,3022.7460
2011-04-12,8599.8630,,2011-04-12,741.4404,,2011-04-12,3021.3690
2011-04-13,8592.1667,,2011-04-13,749.2932,,2011-04-13,3050.3980
2011-04-14,8588.9422,,2011-04-14,753.7105,,2011-04-14,3042.6350
2011-04-15,8617.6424,,2011-04-15,748.8963,,2011-04-15,3050.5260
2011-04-18,8523.8693,,2011-04-18,751.1240,,2011-04-18,3057.3290
2011-04-19,8577.4467,,2011-04-19,746.7572,,2011-04-19,2999.0410
2011-04-20,8686.4526,,2011-04-20,757.2960,,2011-04-20,3007.0370
2011-04-21,8723.4623,,2011-04-21,768.0816,,2011-04-21,3026.6680
2011-04-22,8713.8331,,2011-04-22,771.4494,,2011-04-22,3010.5170
2011-04-25,8700.6225,,2011-04-25,766.8994,,2011-04-25,2964.9510
2011-04-26,8780.3673,,2011-04-26,762.2769,,2011-04-26,2938.9810
2011-04-27,8824.8043,,2011-04-27,773.4961,,2011-04-27,2925.4080
2011-04-28,8850.0584,,2011-04-28,781.1927,,2011-04-28,2887.0440
2011-04-29,8862.1014,,2011-04-29,785.2016,,2011-04-29,2911.5110
2011-05-03,8818.3013,,2011-05-03,802.0867,,2011-05-03,2932.1880
2011-05-04,8759.3315,,2011-05-04,803.2172,,2011-05-04,2866.0170
2011-05-05,8681.4878,,2011-05-05,807.1489,,2011-05-05,2872.4040
2011-05-06,8711.7021,,2011-05-06,796.0712,,2011-05-06,2863.8860
2011-05-09,8749.2695,,2011-05-09,788.6435,,2011-05-09,2872.4600
2011-05-10,8814.7542,,2011-05-10,794.5242,,2011-05-10,2890.6340
2011-05-11,8716.5412,,2011-05-11,792.8991,,2011-05-11,2883.4200
2011-05-12,8766.8993,,2011-05-12,779.2656,,2011-05-12,2844.0830
2011-05-13,8697.7792,,2011-05-13,775.4909,,2011-05-13,2871.0310
2011-05-16,8653.3873,,2011-05-16,769.4049,,2011-05-16,2849.0670
2011-05-17,8652.7230,,2011-05-17,769.1406,,2011-05-17,2852.7730
2011-05-18,8724.3410,,2011-05-18,772.7538,,2011-05-18,2872.7710
2011-05-19,8739.8493,,2011-05-19,766.5100,,2011-05-19,2859.5740
2011-05-20,8663.9884,,2011-05-20,763.8974,,2011-05-20,2858.4590
2011-05-23,8562.6415,,2011-05-23,751.3254,,2011-05-23,2774.5690
2011-05-24,8560.8219,,2011-05-24,752.8285,,2011-05-24,2767.0560
2011-05-25,8576.3206,,2011-05-25,745.1237,,2011-05-25,2741.7410
2011-05-26,8606.5120,,2011-05-26,757.4578,,2011-05-26,2736.5270
2011-05-27,8638.5728,,2011-05-27,760.7935,,2011-05-27,2709.9470
2011-05-30,8632.9822,,2011-05-30,761.9944,,2011-05-30,2706.3610
2011-05-31,8722.9494,,2011-05-31,777.5729,,2011-05-31,2743.4720
2011-06-01,8523.1478,,2011-06-01,774.2836,,2011-06-01,2743.5720
2011-06-02,8519.1425,,2011-06-02,764.6134,,2011-06-02,2705.1810
2011-06-03,8431.0175,,2011-06-03,761.3227,,2011-06-03,2728.0200
2011-06-07,8328.4671,,2011-06-07,763.0659,,2011-06-07,2744.3000
2011-06-08,8290.9090,,2011-06-08,763.7243,,2011-06-08,2750.2880
2011-06-09,8356.5870,,2011-06-09,767.2936,,2011-06-09,2703.3450
2011-06-10,8242.6866,,2011-06-10,767.7011,,2011-06-10,2705.1430
2011-06-13,8253.1592,,2011-06-13,762.3383,,2011-06-13,2700.3790
2011-06-14,8348.2309,,2011-06-14,772.1393,,2011-06-14,2730.0400
2011-06-15,8199.4154,,2011-06-15,770.0338,,2011-06-15,2705.4310
2011-06-16,8214.6875,,2011-06-16,754.0035,,2011-06-16,2664.2830
2011-06-17,8228.6394,,2011-06-17,750.7117,,2011-06-17,2642.8180
2011-06-20,8270.4779,,2011-06-20,754.5475,,2011-06-20,2621.2530
2011-06-21,8380.7189,,2011-06-21,763.2621,,2011-06-21,2646.4830
2011-06-22,8325.6077,,2011-06-22,775.8143,,2011-06-22,2649.3210
2011-06-23,8308.8656,,2011-06-23,772.2209,,2011-06-23,2688.2490
2011-06-24,8212.1990,,2011-06-24,778.1683,,2011-06-24,2746.2110
2011-06-27,8288.6475,,2011-06-27,767.7111,,2011-06-27,2758.2300
2011-06-28,8392.4372,,2011-06-28,773.3368,,2011-06-28,2759.2020
2011-06-29,8461.2960,,2011-06-29,783.1244,,2011-06-29,2728.4830
2011-06-30,8546.6538,,2011-06-30,787.6725,,2011-06-30,2762.0760
2011-07-01,8665.6554,,2011-07-01,789.9982,,2011-07-01,2759.3620
2011-07-04,8662.4402,,2011-07-04,797.3168,,2011-07-04,2812.8180
2011-07-05,8649.3942,,2011-07-05,797.3780,,2011-07-05,2816.3550
2011-07-06,8666.7622,,2011-07-06,806.1850,,2011-07-06,2810.4790
2011-07-07,8759.6637,,2011-07-07,804.9963,,2011-07-07,2794.2670
2011-07-08,8695.0579,,2011-07-08,806.9937,,2011-07-08,2797.7740
2011-07-11,8538.2878,,2011-07-11,806.9721,,2011-07-11,2802.6920
2011-07-12,8505.5563,,2011-07-12,801.3989,,2011-07-12,2754.5820
2011-07-13,8529.3380,,2011-07-13,811.4978,,2011-07-13,2795.4760
2011-07-14,8460.5357,,2011-07-14,815.6859,,2011-07-14,2810.4440
2011-07-15,8510.8193,,2011-07-15,815.7321,,2011-07-15,2820.1690
2011-07-18,8443.5859,,2011-07-18,816.5400,,2011-07-18,2816.6880
2011-07-19,8581.8203,,2011-07-19,809.6516,,2011-07-19,2796.9830
2011-07-20,8563.8657,,2011-07-20,814.8505,,2011-07-20,2794.2050
2011-07-21,8672.3477,,2011-07-21,820.0912,,2011-07-21,2765.8940
2011-07-22,8674.7065,,2011-07-22,831.6537,,2011-07-22,2770.7900
2011-07-25,8626.8247,,2011-07-25,827.0153,,2011-07-25,2688.7460
2011-07-26,8587.0172,,2011-07-26,831.4665,,2011-07-26,2703.0260
2011-07-27,8406.8843,,2011-07-27,830.5610,,2011-07-27,2723.4920
2011-07-28,8381.2573,,2011-07-28,818.8713,,2011-07-28,2708.7770
2011-07-29,8327.7108,,2011-07-29,814.6272,,2011-07-29,2701.7290
2011-08-01,8287.7649,,2011-08-01,823.9569,,2011-08-01,2703.7830
2011-08-02,8078.4647,,2011-08-02,820.4678,,2011-08-02,2679.2590
2011-08-03,8121.7570,,2011-08-03,803.7664,,2011-08-03,2678.4850
2011-08-04,7726.7707,,2011-08-04,806.4739,,2011-08-04,2684.0390
2011-08-05,7730.1240,,2011-08-05,758.5726,,2011-08-05,2626.4230
2011-08-08,7198.6875,,2011-08-08,748.6837,,2011-08-08,2526.8160
2011-08-09,7543.4718,,2011-08-09,742.9375,,2011-08-09,2526.0700
2011-08-10,7191.5807,,2011-08-10,752.3486,,2011-08-10,2549.1760
2011-08-11,7503.8406,,2011-08-11,746.6866,,2011-08-11,2581.5080
2011-08-12,7541.0833,,2011-08-12,744.7596,,2011-08-12,2593.1730
2011-08-15,7702.7136,,2011-08-15,754.8444,,2011-08-15,2626.7700
2011-08-16,7624.7183,,2011-08-16,757.6198,,2011-08-16,2608.1660
2011-08-17,7640.4184,,2011-08-17,755.0223,,2011-08-17,2601.2610
2011-08-18,7293.5442,,2011-08-18,746.0974,,2011-08-18,2559.4720
2011-08-19,7194.1873,,2011-08-19,726.1645,,2011-08-19,2534.3580
2011-08-22,7192.1109,,2011-08-22,719.3962,,2011-08-22,2515.8630
2011-08-23,7437.5289,,2011-08-23,727.3637,,2011-08-23,2554.0190
2011-08-24,7524.3930,,2011-08-24,718.3749,,2011-08-24,2541.0910
2011-08-25,7411.9087,,2011-08-25,728.9217,,2011-08-25,2615.2610
2011-08-26,7525.6360,,2011-08-26,727.0837,,2011-08-26,2612.1880
2011-08-29,7730.3541,,2011-08-29,736.6005,,2011-08-29,2576.4130
2011-08-30,7744.3729,,2011-08-30,743.4334,,2011-08-30,2566.5950
2011-08-31,7784.6848,,2011-08-31,745.9323,,2011-08-31,2567.3400
2011-09-01,7691.3057,,2011-09-01,752.3273,,2011-09-01,2556.0420
2011-09-02,7501.1987,,2011-09-02,743.1352,,2011-09-02,2528.2800
2011-09-05,7504.7206,,2011-09-05,730.8144,,2011-09-05,2478.7390
2011-09-06,7451.2437,,2011-09-06,714.0224,,2011-09-06,2470.5240
2011-09-07,7667.3324,,2011-09-07,723.2355,,2011-09-07,2516.0900
2011-09-08,7576.5965,,2011-09-08,725.7753,,2011-09-08,2498.9430
2011-09-09,7378.0690,,2011-09-09,720.0793,,2011-09-09,2497.7530
2011-09-13,7504.2568,,2011-09-13,714.5446,,2011-09-13,2471.3050
2011-09-14,7601.0143,,2011-09-14,708.1147,,2011-09-14,2484.8270
2011-09-15,7723.5529,,2011-09-15,721.6393,,2011-09-15,2479.0550
2011-09-16,7757.7790,,2011-09-16,736.2926,,2011-09-16,2482.3430
2011-09-19,7687.8738,,2011-09-19,735.4416,,2011-09-19,2437.7950
2011-09-20,7678.9509,,2011-09-20,726.3049,,2011-09-20,2447.7550
2011-09-21,7440.6619,,2011-09-21,730.2540,,2011-09-21,2512.9630
2011-09-22,7207.4964,,2011-09-22,712.1880,,2011-09-22,2443.0570
2011-09-23,7254.9691,,2011-09-23,716.7506,,2011-09-23,2433.1590
2011-09-26,7412.0618,,2011-09-26,697.3138,,2011-09-26,2393.1830
2011-09-27,7494.2229,,2011-09-27,718.9739,,2011-09-27,2415.0540
2011-09-28,7323.3890,,2011-09-28,716.3999,,2011-09-28,2392.0620
2011-09-29,7387.6866,,2011-09-29,724.5601,,2011-09-29,2365.3430
2011-09-30,7190.0610,,2011-09-30,721.9327,,2011-09-30,2359.2200
2011-10-10,7597.8276,,2011-10-10,712.3560,,2011-10-10,2344.7870
2011-10-11,7589.6466,,2011-10-11,725.8027,,2011-10-11,2348.5160
2011-10-12,7677.8686,,2011-10-12,724.4199,,2011-10-12,2420.0000
2011-10-13,7671.7677,,2011-10-13,728.8799,,2011-10-13,2438.7900
2011-10-14,7808.1670,,2011-10-14,724.8735,,2011-10-14,2431.3750
2011-10-17,7650.6791,,2011-10-17,731.9454,,2011-10-17,2440.4020
2011-10-18,7811.6750,,2011-10-18,725.1677,,2011-10-18,2383.4850
2011-10-19,7710.2023,,2011-10-19,728.9191,,2011-10-19,2377.5120
2011-10-20,7736.2004,,2011-10-20,719.3422,,2011-10-20,2331.3660
2011-10-21,7878.7371,,2011-10-21,718.4732,,2011-10-21,2317.2750
2011-10-24,7970.2520,,2011-10-24,736.2613,,2011-10-24,2370.3330
2011-10-25,7795.2496,,2011-10-25,729.5675,,2011-10-25,2409.6720
2011-10-26,7881.2352,,2011-10-26,729.4912,,2011-10-26,2427.4800
2011-10-27,8154.1919,,2011-10-27,743.0720,,2011-10-27,2435.6140
2011-10-28,8133.3346,,2011-10-28,754.2390,,2011-10-28,2473.4100
2011-10-31,7924.9919,,2011-10-31,750.7103,,2011-10-31,2468.2500
2011-11-01,7710.8596,,2011-11-01,712.9823,,2011-11-01,2470.0190
2011-11-02,7835.5356,,2011-11-02,698.6644,,2011-11-02,2504.1080
2011-11-03,7970.2158,,2011-11-03,699.3988,,2011-11-03,2508.0900
2011-11-04,7916.0273,,2011-11-04,712.6054,,2011-11-04,2528.2940
2011-11-07,7971.7917,,2011-11-07,709.3540,,2011-11-07,2509.7990
2011-11-08,8069.8112,,2011-11-08,701.2088,,2011-11-08,2503.8360
2011-11-09,7768.7724,,2011-11-09,712.1412,,2011-11-09,2524.9190
2011-11-10,7850.8328,,2011-11-10,691.3871,,2011-11-10,2479.5360
2011-11-11,8002.3190,,2011-11-11,694.8659,,2011-11-11,2481.0840
2011-11-14,7923.8926,,2011-11-14,705.3313,,2011-11-14,2528.7140
2011-11-15,7979.0435,,2011-11-15,702.6762,,2011-11-15,2529.7610
2011-11-16,7855.4917,,2011-11-16,697.2628,,2011-11-16,2466.9590
2011-11-17,7728.8710,,2011-11-17,699.5610,,2011-11-17,2463.0460
2011-11-18,7725.2126,,2011-11-18,691.3572,,2011-11-18,2416.5620
2011-11-21,7578.0476,,2011-11-21,689.5504,,2011-11-21,2415.1300
2011-11-22,7550.5882,,2011-11-22,686.6479,,2011-11-22,2412.6250
2011-11-23,7377.1341,,2011-11-23,686.0741,,2011-11-23,2395.0650
2011-11-24,7385.4990,,2011-11-24,672.5332,,2011-11-24,2397.5540
2011-11-25,7363.8113,,2011-11-25,671.2016,,2011-11-25,2380.2240
2011-11-28,7582.8292,,2011-11-28,678.5051,,2011-11-28,2383.0340
2011-11-29,7599.8547,,2011-11-29,689.5350,,2011-11-29,2412.3930
2011-11-30,7915.9515,,2011-11-30,685.8519,,2011-11-30,2333.4140
2011-12-01,7884.7877,,2011-12-01,701.6236,,2011-12-01,2386.8600
2011-12-02,7877.5367,,2011-12-02,703.8433,,2011-12-02,2360.6640
2011-12-05,7963.4761,,2011-12-05,705.4005,,2011-12-05,2333.2290
2011-12-06,7970.3939,,2011-12-06,698.1124,,2011-12-06,2325.9050
2011-12-07,7987.4895,,2011-12-07,710.9092,,2011-12-07,2332.7300
2011-12-08,7815.7808,,2011-12-08,706.5878,,2011-12-08,2329.8200
2011-12-09,7951.8797,,2011-12-09,695.9690,,2011-12-09,2315.2700
2011-12-12,7826.4842,,2011-12-12,705.4681,,2011-12-12,2291.5450
2011-12-13,7766.1027,,2011-12-13,695.3606,,2011-12-13,2248.5900
2011-12-14,7682.4541,,2011-12-14,692.3667,,2011-12-14,2228.5250
2011-12-15,7710.4081,,2011-12-15,680.6781,,2011-12-15,2180.8950
2011-12-16,7726.7900,,2011-12-16,683.7488,,2011-12-16,2224.8400
2011-12-19,7630.2271,,2011-12-19,674.3750,,2011-12-19,2218.2350
2011-12-20,7863.7596,,2011-12-20,677.0389,,2011-12-20,2215.9300
2011-12-21,7866.2803,,2011-12-21,687.1873,,2011-12-21,2191.1480
2011-12-22,7931.9262,,2011-12-22,679.8820,,2011-12-22,2186.2970
2011-12-23,7998.0244,,2011-12-23,678.3625,,2011-12-23,2204.7840
2011-12-26,7992.7100,,2011-12-26,686.5976,,2011-12-26,2190.1100
2011-12-27,7991.4435,,2011-12-27,683.8204,,2011-12-27,2166.2050
2011-12-28,7890.9767,,2011-12-28,683.7452,,2011-12-28,2170.0130
2011-12-29,7976.8554,,2011-12-29,681.0240,,2011-12-29,2173.5610
2011-12-30,7924.0118,,2011-12-30,685.7543,,2011-12-30,2199.4170
2012-01-04,8047.1177,,2012-01-04,703.6239,,2012-01-04,2169.3900
2012-01-05,8085.4102,,2012-01-05,698.0181,,2012-01-05,2148.4520
2012-01-06,8071.4146,,2012-01-06,686.4649,,2012-01-06,2163.3950
2012-01-09,8098.6345,,2012-01-09,689.3679,,2012-01-09,2225.8900
2012-01-10,8162.1986,,2012-01-10,692.0403,,2012-01-10,2285.7440
2012-01-11,8162.6574,,2012-01-11,693.7484,,2012-01-11,2276.0460
2012-01-12,8191.4465,,2012-01-12,689.4464,,2012-01-12,2275.0100
2012-01-13,8147.1777,,2012-01-13,699.4496,,2012-01-13,2244.5800
2012-01-16,8160.7132,,2012-01-16,690.2177,,2012-01-16,2206.1930
2012-01-17,8182.4628,,2012-01-17,697.0387,,2012-01-17,2298.3760
2012-01-18,8267.4668,,2012-01-18,703.8324,,2012-01-18,2266.3840
2012-01-19,8304.0909,,2012-01-19,710.8988,,2012-01-19,2296.0750
2012-01-20,8305.0462,,2012-01-20,717.8422,,2012-01-20,2319.1180
2012-01-30,8279.3159,,2012-01-30,722.3666,,2012-01-30,2285.0380
2012-01-31,8283.2757,,2012-01-31,727.5186,,2012-01-31,2292.6100
2012-02-01,8355.4051,,2012-02-01,729.4154,,2012-02-01,2268.0800
2012-02-02,8360.8436,,2012-02-02,735.4090,,2012-02-02,2312.5560
2012-02-03,8486.5880,,2012-02-03,731.2396,,2012-02-03,2330.4050
2012-02-06,8483.7978,,2012-02-06,736.4626,,2012-02-06,2331.1360
2012-02-07,8502.0408,,2012-02-07,735.2049,,2012-02-07,2291.9020
2012-02-08,8508.3929,,2012-02-08,738.8637,,2012-02-08,2347.5300
2012-02-09,8518.5018,,2012-02-09,735.8431,,2012-02-09,2349.5890
2012-02-10,8450.1734,,2012-02-10,724.9534,,2012-02-10,2351.9810
2012-02-13,8507.9052,,2012-02-13,728.4386,,2012-02-13,2351.8550
2012-02-14,8500.9924,,2012-02-14,734.7022,,2012-02-14,2344.7710
2012-02-15,8456.7074,,2012-02-15,743.2164,,2012-02-15,2366.7020
2012-02-16,8554.4298,,2012-02-16,741.6254,,2012-02-16,2356.8600
2012-02-17,8569.0790,,2012-02-17,748.5377,,2012-02-17,2357.1810
2012-02-20,8567.3094,,2012-02-20,749.8248,,2012-02-20,2363.5970
2012-02-21,8576.4742,,2012-02-21,747.4934,,2012-02-21,2381.4300
2012-02-22,8551.6288,,2012-02-22,753.7915,,2012-02-22,2403.5870
2012-02-23,8594.0247,,2012-02-23,752.9644,,2012-02-23,2409.5540
2012-02-24,8599.3819,,2012-02-24,758.7857,,2012-02-24,2439.6280
2012-02-27,8613.7656,,2012-02-27,746.9571,,2012-02-27,2447.0570
2012-02-28,8639.3825,,2012-02-28,762.2650,,2012-02-28,2451.8570
2012-02-29,8592.7220,,2012-02-29,759.4531,,2012-02-29,2428.4870
2012-03-01,8658.9655,,2012-03-01,753.5831,,2012-03-01,2426.1150
2012-03-02,8625.9297,,2012-03-02,757.6221,,2012-03-02,2460.6930
2012-03-05,8611.7874,,2012-03-05,750.4575,,2012-03-05,2445.0020
2012-03-06,8482.1094,,2012-03-06,747.0320,,2012-03-06,2410.4450
2012-03-07,8550.3800,,2012-03-07,749.6810,,2012-03-07,2394.7940
