date	SPX.GI	N225.GI	000001.SH
2008/3/3	9460.2358	896.0966	4438.265
2008/3/4	9443.1431	895.1031	4335.446
2008/3/5	9492.2096	892.802	4292.654
2008/3/6	9282.7269	906.3928	4360.986
2008/3/7	9194.5673	883.5855	4300.515
2008/3/10	9051.114	870.6321	4146.299
2008/3/11	9380.4449	884.8138	4165.878
2008/3/12	9301.2975	886.8006	4070.116
2008/3/13	9335.9616	867.9536	3971.257
2008/3/14	9130.5939	859.2501	3962.673
2008/3/17	9040.2429	856.3508	3820.048
2008/3/18	9430.9544	874.1733	3668.897
2008/3/19	9173.0776	869.0813	3761.605
2008/3/20	9374.6409	873.9855	3804.054
2008/3/21	9385.4099	885.0267	3796.576
2008/3/24	9519.0838	881.4812	3626.188
2008/3/25	9529.9204	891.3497	3629.619
2008/3/26	9421.7065	894.102	3606.857
2008/3/27	9297.5549	894.6983	3411.493
2008/3/28	9224.5585	905.4329	3580.146
2008/3/31	9284.0313	879.343	3472.713
2008/4/1	9621.1299	890.2652	3329.162
2008/4/2	9612.6419	910.1318	3347.882
2008/4/3	9611.4608	918.8685	3446.244
2008/4/7	9610.5251	922.7799	3599.618
2008/4/8	9560.8283	906.0247	3612.539
2008/4/9	9484.8162	894.7685	3413.907
2008/4/10	9512.9656	892.5914	3471.743
2008/4/11	9331.4094	915.4735	3492.893
2008/4/14	9297.3102	891.3469	3296.672
2008/4/15	9336.0726	898.7533	3348.353
2008/4/16	9559.3841	904.1645	3291.599
2008/4/17	9544.5816	919.1904	3222.741
2008/4/18	9733.1442	920.0238	3094.668
2008/4/21	9728.0177	923.2707	3116.977
2008/4/22	9619.4717	918.5016	3147.793
2008/4/23	9637.0171	920.4769	3278.33
2008/4/24	9706.463	915.6472	3583.028
2008/4/25	9777.751	929.4486	3557.749
2008/4/28	9771.7973	928.8108	3474.722
2008/4/29	9722.3924	932.5345	3523.405
2008/4/30	9699.4071	931.121	3693.106
2008/5/5	9854.682	932.7866	3761.009
2008/5/6	9911.9355	936.7204	3733.503
2008/5/7	9726.8229	939.4226	3579.147
2008/5/8	9785.1577	931.2424	3656.839
2008/5/9	9718.6541	920.9025	3613.494
2008/5/12	9799.7956	932.7481	3626.982
2008/5/13	9805.4256	938.6256	3560.243
2008/5/14	9858.7887	942.5826	3657.432
2008/5/15	9964.99	947.6409	3637.324
2008/5/16	9962.4838	948.937	3624.233
2008/5/19	9945.3231	955.5359	3604.761
2008/5/20	9862.7052	947.2675	3443.162
2008/5/21	9678.9244	936.3209	3544.186
2008/5/22	9680.6932	943.7417	3485.63
2008/5/23	9562.4383	935.3284	3473.091
2008/5/26	9548.8166	920.6653	3364.544
2008/5/27	9618.7621	933.2414	3375.407
2008/5/28	9653.5423	913.364	3459.026
2008/5/29	9704.2041	935.6755	3401.437
2008/5/30	9728.7199	942.2715	3433.354
2008/6/2	9612.6699	950.8255	3459.044
2008/6/3	9546.4257	943.2615	3436.398
2008/6/4	9551.7083	952.3001	3369.913
2008/6/5	9743.2646	944.3341	3351.645
2008/6/6	9421.0762	946.4357	3329.67
2008/6/10	9400.269	908.5578	3072.333
2008/6/11	9242.7927	913.6856	3024.24
2008/6/12	9247.1128	895.6064	2957.532
2008/6/13	9386.6551	893.62	2868.8
2008/6/16	9388.7744	915.2059	2874.103
2008/6/17	9310.4745	913.4316	2794.751
2008/6/18	9207.2098	921.7286	2941.115
2008/6/19	9238.1333	902.6353	2748.874
2008/6/20	9070.785	888.3754	2831.736
2008/6/23	9051.4968	886.6009	2760.417
2008/6/24	9033.9037	881.6491	2803.019
2008/6/25	9079.8187	881.118	2905.014
2008/6/26	8806.7717	878.6572	2901.85
2008/6/27	8770.9652	869.1687	2748.432
2008/6/30	8779.648	869.1176	2736.103
2008/7/1	8815.5105	869.5881	2651.605
2008/7/2	8656.6764	860.0799	2651.725
2008/7/3	8654.5274	857.6877	2703.529
2008/7/4	8668.4193	851.6994	2669.892
2008/7/7	8586.714	857.7279	2792.397
2008/7/8	8735.162	834.9916	2814.947
2008/7/9	8542.5564	833.9136	2920.546
2008/7/10	8584.3428	837.3468	2875.45
2008/7/11	8477.7398	833.4057	2856.634
2008/7/14	8385.1128	832.377	2878.256
2008/7/15	8289.3309	820.4753	2779.448
2008/7/16	8484.3886	829.6689	2705.867
2008/7/17	8593.996	836.5311	2684.778
2008/7/18	8602.6282	820.7172	2778.367
2008/7/21	8602.146	818.1948	2861.418
2008/7/22	8711.5663	844.7604	2846.117
2008/7/23	8754.6651	846.9952	2837.849
2008/7/24	8554.4724	861.28	2910.292
2008/7/25	8584.8409	848.1174	2865.101
2008/7/28	8427.908	844.2927	2903.012
2008/7/29	8615.6556	835.6646	2850.311
2008/7/30	8778.0455	845.4726	2836.668
2008/7/31	8667.3583	846.1501	2775.717
2008/8/1	8623.4191	831.4148	2801.817
2008/8/4	8552.0964	823.2357	2741.74
2008/8/5	8801.5565	817.3559	2690.746
2008/8/6	8834.1745	837.7886	2719.368
2008/8/7	8679.5429	822.7662	2727.577
2008/8/8	8890.8107	824.461	2605.719
2008/8/11	8959.4554	838.7469	2470.074
2008/8/12	8854.196	829.2001	2457.198
2008/8/13	8824.3941	819.8401	2446.297
2008/8/14	8873.3786	812.7023	2437.082
2008/8/15	8912.0132	813.1793	2450.61
2008/8/18	8779.5069	820.5893	2319.868
2008/8/19	8689.3667	802.3417	2344.469
2008/8/20	8734.2952	801.637	2523.282
