date,pre_close,open,high,low,close,volume,amt,adjfactor
2007/9/3,3804.9426,3804.9426,3899.793,3804.9424,3890.7791,19342432000,2.98E+11,1
2007/9/4,3890.7791,3890.7791,3902.272,3837.4065,3854.9917,18337697600,2.87E+11,1
2007/9/5,3854.9917,3854.9917,3878.2273,3794.1196,3864.7783,14945665600,2.37E+11,1
2007/9/6,3864.7783,3864.7783,3923.147,3864.7783,3903.8408,16264595200,2.55E+11,1
2007/9/7,3903.8408,3903.8408,3903.8408,3814.7722,3819.8743,18255420800,2.91E+11,1
2007/9/10,3819.8743,3819.8743,3883.7395,3819.8743,3883.7395,15407395200,2.37E+11,1
2007/9/11,3883.7395,3883.7395,3905.2856,3676.8135,3685.7551,16640076800,2.62E+11,1
2007/9/12,3685.7551,3685.7551,3746.2305,3620.5493,3732.8308,14698443200,2.29E+11,1
2007/9/13,3732.8308,3732.8308,3824.5425,3732.8308,3823.9597,12988343200,2.16E+11,1
2007/9/14,3823.9597,3823.9597,3870.2068,3776.9641,3864.2683,14003278400,2.31E+11,1
2007/9/17,3864.2683,3864.2683,3943.4243,3856.5793,3940.2336,15771518400,2.54E+11,1
2007/9/18,3940.2336,3940.2336,3963.9438,3886.417,3939.093,15742963200,2.61E+11,1
2007/9/19,3939.093,3939.093,3952.5662,3875.3376,3894.1179,13174530400,2.15E+11,1
2007/9/20,3894.1179,3894.1179,3945.0171,3894.1179,3944.2568,13141792800,2.20E+11,1
2007/9/21,3944.2568,3944.2568,3958.2424,3841.6421,3920.7708,14088033600,2.34E+11,1
2007/9/24,3920.7708,3920.7708,3963.271,3873.9612,3943.9827,12706110400,2.21E+11,1
2007/9/25,3943.9827,3943.9827,3961.4475,3882.9468,3905.9512,10657656000,1.84E+11,1
2007/9/26,3905.9512,3905.9512,3926.3098,3825.8953,3843.9109,9427760800,1.60E+11,1
2007/9/27,3843.9109,3843.9109,3888.0833,3825.313,3887.5906,8658109600,1.48E+11,1
2007/9/28,3887.5906,3887.5906,3994.9297,3887.5906,3988.595,11576276000,2.02E+11,1
2007/10/8,3988.595,3988.595,4076.6938,3988.595,4025.3083,13753305600,2.37E+11,1
2007/10/9,4025.3083,4025.3083,4051.0325,3981.1113,4048.6301,11854424800,2.04E+11,1
2007/10/10,4048.6301,4048.6301,4108.0293,4029.322,4052.4971,13547123200,2.45E+11,1
2007/10/11,4052.4971,4052.4971,4082.2686,4022.062,4072.532,13707444800,2.56E+11,1
2007/10/12,4072.532,4072.532,4085.7729,3860.78,4038.012,16863062400,3.09E+11,1
