,收盘价
,close
日期,中证800
Date,000906.SH
2009-02-05,2176.2550
2009-02-06,2266.1510
2009-02-09,2330.0440
2009-02-10,2368.3470
2009-02-11,2372.7780
2009-02-12,2372.2350
2009-02-13,2455.3750
2009-02-16,2515.3070
2009-02-17,2431.5370
2009-02-18,2323.8340
2009-02-19,2352.3910
2009-02-20,2406.3050
2009-02-23,2477.4030
2009-02-24,2368.0530
2009-02-25,2373.2310
2009-02-26,2243.6220
2009-02-27,2174.1310
2009-03-02,2205.3780
2009-03-03,2191.5030
2009-03-04,2334.8320
2009-03-05,2354.4960
2009-03-06,2336.3690
2009-03-09,2246.6320
2009-03-10,2289.7880
2009-03-11,2270.8050
2009-03-12,2268.9820
2009-03-13,2255.4470
2009-03-16,2290.7690
2009-03-17,2373.8560
2009-03-18,2388.7910
2009-03-19,2440.6970
2009-03-20,2435.9990
2009-03-23,2495.0450
2009-03-24,2509.0730
2009-03-25,2453.4320
2009-03-26,2529.0940
2009-03-27,2549.0900
2009-03-30,2538.6070
2009-03-31,2563.1650
2009-04-01,2604.8250
2009-04-02,2627.8510
2009-04-03,2617.0580
2009-04-07,2628.8270
2009-04-08,2531.4040
2009-04-09,2571.2140
2009-04-10,2651.5440
2009-04-13,2708.0990
2009-04-14,2733.8180
2009-04-15,2750.4770
2009-04-16,2753.5580
2009-04-17,2716.8180
2009-04-20,2778.9770
2009-04-21,2753.1400
2009-04-22,2642.6420
2009-04-23,2659.7230
2009-04-24,2638.7990
2009-04-27,2567.9280
2009-04-28,2580.5970
2009-04-29,2665.3180
2009-04-30,2688.2560
2009-05-04,2781.2330
2009-05-05,2797.2510
2009-05-06,2836.0250
2009-05-07,2833.4390
2009-05-08,2853.9820
2009-05-11,2779.2140
2009-05-12,2844.6460
2009-05-13,2869.1860
2009-05-14,2854.5360
2009-05-15,2862.0290
2009-05-18,2878.3790
2009-05-19,2907.6850
2009-05-20,2882.3040
2009-05-21,2820.7850
2009-05-22,2814.7180
2009-05-25,2827.6000
2009-05-26,2801.9980
2009-05-27,2834.1890
2009-06-01,2923.5280
2009-06-02,2933.1030
2009-06-03,2997.3590
2009-06-04,3007.9580
2009-06-05,2992.5510
2009-06-08,2998.7780
2009-06-09,3011.6350
2009-06-10,3041.8110
2009-06-11,3015.6150
2009-06-12,2957.2820
2009-06-15,3014.1400
2009-06-16,3008.7500
2009-06-17,3058.6720
2009-06-18,3101.2780
2009-06-19,3119.7910
2009-06-22,3116.2110
2009-06-23,3114.7420
2009-06-24,3151.7150
2009-06-25,3148.7060
2009-06-26,3161.1450
2009-06-29,3207.6990
2009-06-30,3192.1860
2009-07-01,3259.2030
2009-07-02,3301.8040
2009-07-03,3346.0980
2009-07-06,3385.7510
2009-07-07,3357.6270
2009-07-08,3375.4420
2009-07-09,3423.6850
2009-07-10,3428.7330
2009-07-13,3405.3300
2009-07-14,3491.7580
2009-07-15,3529.2460
2009-07-16,3531.9300
2009-07-17,3551.2960
2009-07-20,3621.0690
2009-07-21,3561.9320
2009-07-22,3629.0250
2009-07-23,3672.4360
2009-07-24,3680.1700
2009-07-27,3753.4010
2009-07-28,3772.6910
2009-07-29,3565.6110
2009-07-30,3634.0760
2009-07-31,3737.8420
2009-08-03,3797.2160
2009-08-04,3806.1700
2009-08-05,3769.5420
2009-08-06,3696.9460
2009-08-07,3587.1880
2009-08-10,3586.2810
2009-08-11,3599.6030
2009-08-12,3437.4780
2009-08-13,3473.8140
2009-08-14,3364.6900
2009-08-17,3153.3630
2009-08-18,3191.4030
2009-08-19,3031.6440
2009-08-20,3159.7370
2009-08-21,3224.9580
2009-08-24,3259.7360
2009-08-25,3153.1200
2009-08-26,3223.9360
2009-08-27,3217.5260
2009-08-28,3111.1380
2009-08-31,2889.5890
2009-09-01,2894.1880
2009-09-02,2935.8190
2009-09-03,3095.6760
2009-09-04,3127.5050
2009-09-07,3156.4280
2009-09-08,3222.3680
2009-09-09,3245.4680
2009-09-10,3213.8070
2009-09-11,3285.5140
2009-09-14,3347.7330
2009-09-15,3362.4410
2009-09-16,3327.9060
2009-09-17,3394.0710
2009-09-18,3273.1240
2009-09-21,3292.4590
2009-09-22,3212.0710
2009-09-23,3133.9140
2009-09-24,3145.5610
2009-09-25,3121.5780
2009-09-28,3033.3870
2009-09-29,3021.3040
2009-09-30,3052.7870
2009-10-09,3213.4700
2009-10-12,3207.8220
2009-10-13,3256.9950
2009-10-14,3286.5040
2009-10-15,3298.5470
2009-10-16,3302.5620
2009-10-19,3389.9580
2009-10-20,3439.6860
2009-10-21,3428.1510
2009-10-22,3413.5080
2009-10-23,3476.3530
2009-10-26,3477.7520
2009-10-27,3378.3340
2009-10-28,3397.3040
2009-10-29,3318.2800
2009-10-30,3354.4850
2009-11-02,3468.8730
2009-11-03,3521.4530
2009-11-04,3541.9790
2009-11-05,3558.3260
2009-11-06,3576.9870
2009-11-09,3593.0900
2009-11-10,3600.7410
2009-11-11,3597.4020
2009-11-12,3603.4500
2009-11-13,3628.6110
2009-11-16,3733.0360
2009-11-17,3739.3340
2009-11-18,3744.4550
2009-11-19,3767.3010
2009-11-20,3764.1700
2009-11-23,3807.4920
2009-11-24,3667.3540
2009-11-25,3763.7710
2009-11-26,3613.6880
2009-11-27,3509.4850
2009-11-30,3648.9500
2009-12-01,3710.9930
2009-12-02,3752.7370
2009-12-03,3753.2990
2009-12-04,3773.7910
2009-12-07,3808.2770
2009-12-08,3770.5030
2009-12-09,3700.8060
2009-12-10,3726.3080
2009-12-11,3724.1900
2009-12-14,3750.5130
2009-12-15,3728.7530
2009-12-16,3707.3040
2009-12-17,3616.0530
2009-12-18,3514.6750
2009-12-21,3528.5460
2009-12-22,3432.9080
2009-12-23,3471.5510
2009-12-24,3579.1570
2009-12-25,3573.6960
2009-12-28,3630.1420
2009-12-29,3651.1340
2009-12-30,3694.4650
2009-12-31,3715.3590
2010-01-04,3687.9380
2010-01-05,3719.9510
2010-01-06,3700.7650
2010-01-07,3627.1770
2010-01-08,3644.7290
2010-01-11,3651.7410
2010-01-12,3712.5090
2010-01-13,3612.3730
2010-01-14,3674.2530
2010-01-15,3691.6220
2010-01-18,3721.5880
2010-01-19,3727.1960
2010-01-20,3602.5960
2010-01-21,3616.9810
2010-01-22,3558.3110
2010-01-25,3516.9430
2010-01-26,3413.0780
2010-01-27,3372.5260
2010-01-28,3392.1970
2010-01-29,3397.6040
2010-02-01,3348.2180
2010-02-02,3337.3390
2010-02-03,3416.5960
2010-02-04,3415.7780
2010-02-05,3344.6720
2010-02-08,3342.9190
2010-02-09,3357.6470
2010-02-10,3403.9580
2010-02-11,3407.0980
2010-02-12,3443.2050
2010-02-22,3429.5270
2010-02-23,3409.4180
2010-02-24,3464.6610
2010-02-25,3516.8380
2010-02-26,3509.3840
2010-03-01,3553.4230
2010-03-02,3543.6620
2010-03-03,3575.7670
2010-03-04,3475.3210
2010-03-05,3486.1240
2010-03-08,3516.8030
2010-03-09,3533.5880
2010-03-10,3500.9690
2010-03-11,3491.6590
2010-03-12,3443.4330
2010-03-15,3396.2340
2010-03-16,3419.8710
2010-03-17,3499.6090
2010-03-18,3497.3790
2010-03-19,3524.7140
2010-03-22,3536.7450
2010-03-23,3509.0840
2010-03-24,3514.6370
2010-03-25,3464.7210
2010-03-26,3514.0450
2010-03-29,3587.8170
2010-03-30,3598.3270
2010-03-31,3583.7130
2010-04-01,3634.3330
2010-04-02,3649.7020
2010-04-06,3649.8060
2010-04-07,3637.3210
2010-04-08,3605.4410
2010-04-09,3645.5640
2010-04-12,3630.5580
2010-04-13,3651.8940
2010-04-14,3672.5070
2010-04-15,3653.1960
2010-04-16,3619.5610
2010-04-19,3435.6390
2010-04-20,3444.8980
2010-04-21,3523.0540
2010-04-22,3496.5860
2010-04-23,3480.0480
2010-04-26,3466.1160
2010-04-27,3390.9440
2010-04-28,3377.3560
2010-04-29,3318.2720
2010-04-30,3300.6210
2010-05-04,3261.4600
2010-05-05,3300.0110
2010-05-06,3160.7510
2010-05-07,3099.5440
2010-05-10,3101.0450
2010-05-11,3031.2850
2010-05-12,3025.6450
2010-05-13,3102.6560
2010-05-14,3092.7340
2010-05-17,2918.7240
2010-05-18,2974.7720
2010-05-19,2968.4420
2010-05-20,2924.9820
2010-05-21,2974.6880
2010-05-24,3092.9970
2010-05-25,3039.6690
2010-05-26,3041.8370
2010-05-27,3092.7810
2010-05-28,3088.2440
2010-05-31,3001.6180
2010-06-01,2963.3210
2010-06-02,2985.0570
2010-06-03,2962.2440
2010-06-04,2975.5900
2010-06-07,2933.5270
2010-06-08,2943.4460
2010-06-09,3029.2420
2010-06-10,3005.8080
2010-06-11,3007.9880
2010-06-17,2985.0060
2010-06-18,2914.7140
2010-06-21,3004.1940
2010-06-22,3012.8910
2010-06-23,2987.9130
2010-06-24,2987.2540
2010-06-25,2957.5270
2010-06-28,2929.1240
2010-06-29,2786.5050
2010-06-30,2749.5080
2010-07-01,2708.8720
2010-07-02,2711.3080
2010-07-05,2690.0020
2010-07-06,2749.5400
2010-07-07,2773.7580
