,CBOT10年期美国国债
,TY.CBT
日期,收盘价
Date,close
2002-11-19,114.1406
2002-11-20,113.3281
2002-11-21,112.8594
2002-11-22,112.6563
2002-11-25,112.6563
2002-11-26,113.4531
2002-11-27,112.1719
2002-11-28,112.1719
2002-11-29,111.1094
2002-12-02,110.9844
2002-12-03,110.9063
2002-12-04,111.3906
2002-12-05,111.8281
2002-12-06,112.2188
2002-12-09,112.5938
2002-12-10,112.6406
2002-12-11,113.0625
2002-12-12,113.0313
2002-12-13,112.7031
2002-12-16,112.2031
2002-12-17,112.4375
2002-12-18,112.9844
2002-12-19,113.7500
2002-12-20,113.7813
2002-12-23,113.7188
2002-12-24,114.1094
2002-12-25,114.1094
2002-12-26,114.2344
2002-12-27,115.0313
2002-12-30,115.2656
2002-12-31,115.0469
2003-01-02,113.4063
2003-01-03,113.4375
2003-01-06,113.2344
2003-01-07,113.5313
2003-01-08,113.8281
2003-01-09,112.5938
2003-01-10,112.5625
2003-01-13,112.8438
2003-01-14,113.2188
2003-01-15,113.3281
2003-01-16,113.2969
2003-01-17,113.7969
2003-01-20,113.7969
2003-01-21,114.0625
2003-01-22,114.5469
2003-01-23,114.3594
2003-01-24,114.6875
2003-01-27,114.2969
2003-01-28,114.1563
2003-01-29,113.7031
2003-02-10,114.1719
2003-02-11,114.3906
2003-02-12,114.8125
2003-02-13,115.3594
2003-02-14,114.8281
2003-02-17,114.8281
2003-02-18,114.8906
2003-02-19,115.3906
2003-02-20,115.7031
2003-02-21,115.3281
2003-02-24,115.7031
2003-02-25,115.8906
2003-02-26,116.1875
2003-02-27,114.9531
2003-02-28,115.3750
2003-03-03,115.5781
2003-03-04,115.8125
2003-03-05,116.1094
2003-03-06,115.9063
2003-03-07,116.1719
2003-03-10,116.5156
2003-03-11,116.2813
2003-03-12,116.1563
2003-03-13,114.9531
2003-03-14,115.2656
2003-03-17,114.5469
2003-03-18,114.0156
2003-03-19,113.5781
2003-03-20,113.3281
2003-03-21,112.6563
2003-03-24,113.5000
2003-03-25,113.5469
2003-03-26,113.7344
2003-03-27,113.9219
2003-03-28,114.3438
2003-03-31,114.8750
2003-04-01,114.8594
2003-04-02,114.0938
2003-04-03,114.2813
2003-04-04,114.1250
2003-04-07,113.6875
2003-04-08,114.2500
2003-04-09,114.5469
2003-04-10,114.3594
2003-04-11,114.1250
2003-04-14,113.7813
2003-04-15,114.1250
2003-04-16,114.3281
2003-04-17,114.2188
2003-04-18,114.2188
2003-04-21,114.0156
2003-04-22,114.0625
2003-04-23,113.9688
2003-04-24,114.6094
2003-04-25,114.8438
2003-04-28,114.7500
2003-04-29,114.5313
2003-04-30,115.1250
2003-05-12,116.9844
2003-05-13,117.0625
2003-05-14,117.5625
2003-05-15,117.4219
2003-05-16,118.0313
2003-05-19,118.1875
2003-05-20,118.7344
2003-05-21,118.4375
2003-05-22,118.7969
2003-05-23,118.8125
2003-05-26,118.8125
2003-05-27,118.5469
2003-05-28,118.4688
2003-05-29,119.0781
2003-05-30,118.4375
2003-06-02,117.8750
2003-06-03,118.6563
2003-06-04,118.9844
2003-06-05,118.5938
2003-06-06,118.3906
2003-06-09,118.9844
2003-06-10,119.7031
2003-06-11,119.5938
2003-06-12,119.7813
2003-06-13,120.2656
2003-06-16,119.6719
2003-06-17,118.9219
2003-06-18,118.2500
2003-06-19,118.4844
2003-06-20,118.1719
2003-06-23,118.8750
2003-06-24,119.2656
2003-06-25,118.4375
2003-06-26,117.1875
2003-06-27,117.0625
2003-06-30,117.4375
2003-07-01,117.2969
2003-07-02,117.4219
2003-07-03,116.7031
2003-07-04,116.7031
2003-07-07,116.3281
2003-07-08,116.1250
2003-07-09,116.3438
2003-07-10,116.6094
2003-07-11,117.0469
2003-07-14,116.4375
2003-07-15,115.0156
2003-07-16,114.7344
2003-07-17,114.6719
2003-07-18,114.5313
2003-07-21,113.1094
2003-07-22,113.3750
2003-07-23,113.6719
2003-07-24,113.2813
2003-07-25,113.1875
2003-07-28,112.3281
2003-07-29,111.5313
2003-07-30,111.9375
2003-07-31,110.6250
2003-08-01,110.5469
2003-08-04,111.6563
2003-08-05,110.8438
2003-08-06,112.2031
2003-08-07,112.4688
2003-08-08,112.5625
2003-08-11,112.0781
2003-08-12,112.2500
2003-08-13,110.5156
2003-08-14,110.3125
2003-08-15,110.7188
2003-08-18,111.0938
2003-08-19,112.0000
2003-08-20,111.3750
2003-08-21,110.6875
2003-08-22,111.2031
2003-08-25,110.7188
2003-08-26,111.1406
2003-08-27,110.7344
2003-08-28,111.7188
2003-08-29,109.7188
2003-09-01,109.7188
2003-09-02,108.3906
2003-09-03,108.6406
2003-09-04,109.4375
2003-09-05,110.9531
2003-09-08,110.7969
2003-09-09,110.9688
2003-09-10,111.8125
2003-09-11,111.3594
2003-09-12,111.9531
2003-09-15,112.1875
2003-09-16,111.8438
2003-09-17,112.4375
2003-09-18,112.3594
2003-09-19,112.5469
2003-09-22,112.1094
2003-09-23,112.2813
2003-09-24,112.9219
2003-09-25,113.1094
2003-09-26,113.8281
2003-09-29,113.5000
2003-09-30,114.6250
2003-10-08,112.4063
2003-10-09,111.9531
2003-10-10,112.4063
2003-10-13,112.4063
2003-10-14,110.1094
2003-10-15,111.2188
2003-10-16,110.5781
2003-10-17,111.2656
2003-10-20,111.4531
2003-10-21,111.4844
2003-10-22,112.2813
2003-10-23,112.0625
2003-10-24,112.9688
2003-10-27,112.5313
2003-10-28,113.2656
2003-10-29,112.5781
2003-10-30,111.9531
2003-10-31,112.2969
2003-11-03,111.7813
2003-11-04,112.2344
2003-11-05,111.8125
2003-11-06,111.4063
2003-11-07,111.1406
2003-11-10,111.0938
2003-11-11,111.0938
2003-11-12,108.3281
2003-11-13,112.6406
2003-11-14,113.2500
2003-11-17,113.6406
2003-11-18,113.7656
2003-11-19,113.2344
2003-11-20,113.7969
2003-11-21,113.8438
2003-11-24,113.2188
2003-11-25,113.5000
2003-11-26,113.0625
2003-11-27,113.0625
2003-11-28,110.8906
2003-12-01,110.3906
2003-12-02,110.5625
2003-12-03,110.2813
2003-12-04,110.7500
2003-12-05,112.1094
2003-12-08,111.7031
2003-12-09,111.0000
2003-12-10,111.4375
2003-12-11,112.2344
2003-12-12,112.1250
2003-12-15,111.8906
2003-12-16,112.2344
2003-12-17,112.5938
2003-12-18,112.8438
2003-12-19,112.9219
2003-12-22,112.7344
2003-12-23,111.9375
2003-12-24,112.6250
2003-12-25,112.6250
2003-12-26,113.0000
2003-12-29,112.3594
2003-12-30,112.1094
2003-12-31,112.2656
2004-01-02,111.3438
2004-01-05,111.3125
2004-01-06,112.2031
2004-01-07,112.5000
2004-01-08,112.5313
2004-01-09,113.9219
2004-01-12,113.9688
2004-01-13,114.4375
2004-01-14,114.6719
2004-01-15,114.6406
2004-01-16,114.3125
2004-01-29,113.0000
2004-01-30,113.4375
2004-02-02,113.3750
2004-02-03,113.8281
2004-02-04,113.6875
2004-02-05,113.2344
2004-02-06,114.0156
2004-02-09,114.2188
2004-02-10,113.9375
2004-02-11,114.6719
2004-02-12,114.4688
2004-02-13,114.8281
2004-02-16,114.8281
2004-02-17,114.7969
2004-02-18,114.7813
2004-02-19,114.8125
2004-02-20,114.4688
2004-02-23,114.8906
2004-02-24,115.0469
2004-02-25,115.1406
2004-02-26,114.9375
2004-02-27,113.8750
2004-03-01,113.7969
2004-03-02,113.3750
2004-03-03,113.3125
2004-03-04,113.6094
2004-03-05,115.2188
2004-03-08,115.6563
2004-03-09,116.0313
2004-03-10,115.9063
2004-03-11,115.8750
2004-03-12,115.8125
2004-03-15,115.7031
2004-03-16,116.3125
2004-03-17,116.2969
2004-03-18,115.7969
2004-03-19,115.5625
2004-03-22,116.0781
2004-03-23,116.1094
2004-03-24,116.1719
2004-03-25,116.0313
2004-03-26,115.2188
2004-03-29,114.9063
2004-03-30,114.8438
2004-03-31,115.4063
2004-04-01,114.8750
2004-04-02,112.9375
2004-04-05,112.4063
2004-04-06,112.7969
2004-04-07,112.8438
2004-04-08,112.6094
2004-04-09,112.6094
2004-04-12,112.4063
2004-04-13,111.5625
2004-04-14,111.2500
2004-04-15,111.1719
2004-04-16,111.6250
2004-04-19,111.4219
2004-04-20,111.0938
2004-04-21,110.9688
2004-04-22,111.3906
2004-04-23,110.6719
2004-04-26,110.7969
2004-04-27,111.0938
2004-04-28,110.5938
2004-04-29,110.1719
2004-04-30,110.5000
2004-05-10,108.5625
2004-05-11,108.6875
2004-05-12,108.5625
2004-05-13,108.2031
2004-05-14,108.7813
2004-05-17,109.5156
2004-05-18,109.2031
2004-05-19,108.7344
2004-05-20,109.2656
2004-05-21,108.9531
2004-05-24,109.1250
2004-05-25,109.2656
2004-05-26,109.7813
2004-05-27,110.3906
2004-05-28,108.3750
2004-05-31,108.3750
2004-06-01,108.1250
2004-06-02,107.8750
2004-06-03,108.0469
2004-06-04,107.5469
2004-06-07,107.7344
2004-06-08,107.7344
2004-06-09,107.4219
2004-06-10,107.6250
2004-06-11,107.6250
2004-06-14,107.0469
2004-06-15,108.5156
2004-06-16,108.1875
2004-06-17,108.4844
2004-06-18,108.3594
2004-06-21,108.5469
2004-06-22,108.4531
2004-06-23,108.5469
2004-06-24,108.9688
2004-06-25,108.9844
2004-06-28,108.2656
2004-06-29,108.6094
2004-06-30,109.3281
2004-07-01,109.6719
2004-07-02,110.5000
2004-07-05,110.5000
2004-07-06,110.3906
2004-07-07,110.4219
2004-07-08,110.4844
2004-07-09,110.5781
2004-07-12,110.7031
2004-07-13,110.4375
2004-07-14,110.4063
2004-07-15,110.3906
2004-07-16,111.3438
2004-07-19,111.3281
2004-07-20,110.5781
2004-07-21,110.3438
2004-07-22,110.5000
2004-07-23,110.7344
2004-07-26,110.4844
2004-07-27,109.6563
2004-07-28,109.8281
2004-07-29,109.9688
2004-07-30,110.7188
2004-08-02,110.8750
2004-08-03,111.0781
2004-08-04,111.0156
2004-08-05,111.2344
2004-08-06,112.7188
2004-08-09,112.4844
2004-08-10,112.1250
2004-08-11,112.2500
2004-08-12,112.4375
2004-08-13,112.7813
2004-08-16,112.5313
2004-08-17,112.9375
2004-08-18,112.7500
2004-08-19,112.8906
2004-08-20,112.7188
2004-08-23,112.3906
2004-08-24,112.4219
2004-08-25,112.5313
2004-08-26,112.7969
2004-08-27,112.7969
2004-08-30,113.0938
2004-08-31,112.3125
2004-09-01,112.4375
2004-09-02,112.0000
2004-09-03,111.2813
2004-09-06,111.2813
2004-09-07,111.5781
2004-09-08,112.2813
2004-09-09,112.1094
2004-09-10,112.2813
2004-09-13,112.4844
2004-09-14,112.6406
2004-09-15,112.3438
2004-09-16,113.0625
2004-09-17,112.6875
2004-09-20,113.2188
2004-09-21,113.2969
2004-09-22,113.5938
2004-09-23,113.2344
2004-09-24,113.2031
2004-09-27,113.4375
2004-09-28,113.3750
2004-09-29,112.7813
2004-09-30,112.6250
2004-10-08,112.5781
2004-10-11,112.5781
2004-10-12,111.1719
2004-10-13,113.0938
2004-10-14,113.5313
2004-10-15,113.2188
2004-10-18,113.2344
2004-10-19,113.2813
2004-10-20,113.6250
2004-10-21,113.5781
2004-10-22,113.7344
2004-10-25,113.8906
2004-10-26,113.7969
2004-10-27,113.0938
2004-10-28,113.1875
2004-10-29,113.5625
2004-11-01,113.1250
2004-11-02,113.2344
2004-11-03,113.2969
