,上证综指
,000001.SH
日期,收盘价
Date,close
2000-11-29,2067.4950
2000-11-30,2070.6130
2000-12-01,2081.8430
2000-12-04,2092.1390
2000-12-05,2091.6700
2000-12-06,2075.6270
2000-12-07,2075.0440
2000-12-08,2073.1630
2000-12-11,2046.0760
2000-12-12,2059.0530
2000-12-13,2056.1200
2000-12-14,2051.0790
2000-12-15,2039.3640
2000-12-18,2044.5450
2000-12-19,2049.0320
2000-12-20,2071.2680
2000-12-21,2076.8860
2000-12-22,2069.7680
2000-12-25,2068.1740
2000-12-26,2076.2660
2000-12-27,2058.2440
2000-12-28,2053.7040
2000-12-29,2073.4770
2001-01-02,2103.4690
2001-01-03,2123.8990
2001-01-04,2117.4050
2001-01-05,2125.3000
2001-01-08,2102.0640
2001-01-09,2101.1350
2001-01-10,2125.6150
2001-01-11,2119.1410
2001-01-12,2104.7470
2001-01-15,2032.4430
2001-01-16,2045.8870
2001-01-17,2034.5840
2001-01-18,2043.1100
2001-01-19,2065.6060
2001-02-05,2008.0320
2001-02-06,1995.3150
2001-02-07,1979.9390
2001-02-08,1930.1380
2001-02-09,1956.9700
2001-02-12,1961.2210
2001-02-13,1963.5280
2001-02-14,1963.2000
2001-02-15,1946.4790
2001-02-16,1941.9640
2001-02-19,1967.5500
2001-02-20,1953.2180
2001-02-21,1909.3260
2001-02-22,1907.2600
2001-02-23,1936.3460
2001-02-26,1953.3410
2001-02-27,1962.0420
2001-02-28,1959.1800
2001-03-01,1965.1210
2001-03-02,1985.1110
2001-03-05,1984.2000
2001-03-06,1990.0600
2001-03-07,1991.1770
2001-03-08,2000.9000
2001-03-09,2011.6600
2001-03-12,2012.5520
2001-03-13,1998.6990
2001-03-14,2018.6160
2001-03-15,2022.6010
2001-03-16,2020.2360
2001-03-19,2036.6170
2001-03-20,2045.7930
2001-03-21,2066.3900
2001-03-22,2087.5320
2001-03-23,2053.5390
2001-03-26,2089.8810
2001-03-27,2107.2580
2001-03-28,2106.8740
2001-03-29,2101.6580
2001-03-30,2112.7750
2001-04-02,2125.0840
2001-04-03,2123.0520
2001-04-04,2090.7190
2001-04-05,2112.6000
2001-04-06,2108.6060
2001-04-09,2117.3670
2001-04-10,2128.4790
2001-04-11,2131.3970
2001-04-12,2134.7980
2001-04-13,2145.4000
2001-04-16,2168.0590
2001-04-17,2176.6790
2001-04-18,2172.5640
2001-04-19,2172.8700
2001-04-20,2152.3350
2001-04-23,2150.4260
2001-04-24,2166.1740
2001-04-25,2119.1800
2001-04-26,2105.0560
2001-04-27,2115.1090
2001-04-30,2119.1840
2001-05-08,2137.9940
2001-05-09,2132.8900
2001-05-10,2147.2830
2001-05-11,2155.4050
2001-05-14,2178.4660
2001-05-15,2191.0640
2001-05-16,2199.5050
2001-05-17,2194.6470
2001-05-18,2203.3720
2001-05-21,2213.5950
2001-05-22,2210.3370
2001-05-23,2197.5950
2001-05-24,2198.2970
2001-05-25,2193.5760
2001-05-28,2179.6990
2001-05-29,2180.2760
2001-05-30,2211.2010
2001-05-31,2214.2570
2001-06-01,2219.5910
2001-06-04,2226.7790
2001-06-05,2234.9870
2001-06-06,2238.5010
2001-06-07,2229.8120
2001-06-08,2223.0680
2001-06-11,2214.6230
2001-06-12,2222.9590
2001-06-13,2242.4230
2001-06-14,2202.3980
2001-06-15,2210.9700
2001-06-18,2167.6470
2001-06-19,2170.4540
2001-06-20,2163.1230
2001-06-21,2189.1450
2001-06-22,2206.0670
2001-06-25,2230.1970
2001-06-26,2233.5910
2001-06-27,2229.8280
2001-06-28,2219.2500
2001-06-29,2218.0290
2001-07-02,2205.9850
2001-07-03,2211.8300
2001-07-04,2202.0580
2001-07-05,2181.6630
2001-07-06,2170.5210
2001-07-09,2169.6550
2001-07-10,2189.7850
2001-07-11,2168.7400
2001-07-12,2165.4910
2001-07-13,2161.3400
2001-07-16,2146.2360
2001-07-17,2140.9810
2001-07-18,2146.5410
2001-07-19,2150.2650
2001-07-20,2179.6240
2001-07-23,2169.0100
2001-07-24,2136.4500
2001-07-25,2112.2600
2001-07-26,2094.0100
2001-07-27,2065.7300
2001-07-30,1956.8000
2001-07-31,1920.3200
2001-08-01,1986.9300
2001-08-02,1957.0200
2001-08-03,1958.6900
2001-08-06,1882.1300
2001-08-07,1903.9300
2001-08-08,1895.1700
2001-08-09,1924.5900
2001-08-10,1955.0360
2001-08-13,1955.1000
2001-08-14,1939.5420
2001-08-15,1947.3590
2001-08-16,1919.6450
2001-08-17,1924.0030
2001-08-20,1934.4890
2001-08-21,1938.8710
2001-08-22,1903.4460
2001-08-23,1902.9900
2001-08-24,1886.8000
2001-08-27,1827.2500
2001-08-28,1843.3850
2001-08-29,1847.5360
2001-08-30,1839.6310
2001-08-31,1834.1380
2001-09-03,1817.1900
2001-09-04,1862.3600
2001-09-05,1868.2700
2001-09-06,1861.5610
2001-09-07,1808.8440
2001-09-10,1856.5290
2001-09-11,1863.7800
2001-09-12,1852.6040
2001-09-13,1839.9090
2001-09-14,1818.3820
2001-09-17,1784.6080
2001-09-18,1798.6220
2001-09-19,1822.6950
2001-09-20,1818.4190
2001-09-21,1807.0190
2001-09-24,1794.9610
2001-09-25,1793.8840
2001-09-26,1767.8140
2001-09-27,1764.9320
2001-09-28,1764.8670
2001-10-08,1726.5330
2001-10-09,1744.6400
2001-10-10,1686.6120
2001-10-11,1638.3260
2001-10-12,1691.3260
2001-10-15,1687.2800
2001-10-16,1655.9020
2001-10-17,1643.0660
2001-10-18,1615.5790
2001-10-19,1572.4530
2001-10-22,1520.6690
2001-10-23,1670.5620
2001-10-24,1718.0600
2001-10-25,1676.4990
2001-10-26,1677.8780
2001-10-29,1700.4770
2001-10-30,1682.7690
2001-10-31,1689.1700
2001-11-01,1707.7540
2001-11-02,1691.3510
2001-11-05,1679.5720
2001-11-06,1671.2780
2001-11-07,1594.0500
2001-11-08,1605.8710
2001-11-09,1630.3590
2001-11-12,1621.1950
2001-11-13,1615.9310
2001-11-14,1617.1020
2001-11-15,1621.3440
2001-11-16,1646.7630
2001-11-19,1669.8940
2001-11-20,1699.7320
2001-11-21,1705.6640
2001-11-22,1715.8130
2001-11-23,1712.5640
2001-11-26,1705.8850
2001-11-27,1722.5890
2001-11-28,1735.0000
2001-11-29,1732.2960
2001-11-30,1747.9930
2001-12-03,1762.5620
2001-12-04,1769.6810
2001-12-05,1745.2270
2001-12-06,1751.1820
2001-12-07,1745.4070
2001-12-10,1748.6820
2001-12-11,1728.8780
2001-12-12,1715.1720
2001-12-13,1688.0130
2001-12-14,1675.5140
2001-12-17,1665.9380
2001-12-18,1687.2900
2001-12-19,1672.6980
2001-12-20,1631.5370
2001-12-21,1640.1420
2001-12-24,1606.1040
2001-12-25,1611.1700
2001-12-26,1633.6430
2001-12-27,1627.9230
2001-12-28,1639.4840
2001-12-31,1645.9710
2002-01-04,1611.3930
2002-01-07,1596.7600
2002-01-08,1583.4610
2002-01-09,1561.3490
2002-01-10,1576.4370
2002-01-11,1535.5930
2002-01-14,1485.1080
2002-01-15,1459.6530
2002-01-16,1479.6190
2002-01-17,1419.5190
2002-01-18,1415.4380
2002-01-21,1366.9680
2002-01-22,1358.6910
2002-01-23,1444.9650
2002-01-24,1456.4040
2002-01-25,1451.4840
2002-01-28,1359.5490
2002-01-29,1392.7750
2002-01-30,1396.6050
2002-01-31,1491.6650
2002-02-01,1485.7700
2002-02-04,1511.3270
2002-02-05,1518.2800
2002-02-06,1485.8020
2002-02-07,1515.3940
2002-02-08,1506.6150
2002-02-25,1530.2840
2002-02-26,1531.4300
2002-02-27,1538.3190
2002-02-28,1524.7010
2002-03-01,1502.5400
2002-03-04,1526.8040
2002-03-05,1560.0790
2002-03-06,1569.2080
2002-03-07,1613.0010
2002-03-08,1640.2560
2002-03-11,1664.0940
2002-03-12,1643.6920
2002-03-13,1623.4320
2002-03-14,1665.1510
2002-03-15,1620.9760
2002-03-18,1623.8840
2002-03-19,1665.3570
2002-03-20,1682.5100
2002-03-21,1685.0170
2002-03-22,1669.6940
2002-03-25,1675.2890
2002-03-26,1649.4840
2002-03-27,1654.2310
2002-03-28,1650.6730
2002-03-29,1603.9050
2002-04-01,1608.5060
2002-04-02,1582.8830
2002-04-03,1594.5080
2002-04-04,1641.6990
2002-04-05,1634.6430
2002-04-08,1640.6500
2002-04-09,1667.5220
2002-04-10,1677.6580
2002-04-11,1649.5300
2002-04-12,1658.9790
2002-04-15,1649.5000
2002-04-16,1640.2850
2002-04-17,1644.3950
2002-04-18,1628.1370
2002-04-19,1635.1720
2002-04-22,1627.4800
2002-04-23,1624.5460
2002-04-24,1611.0510
2002-04-25,1615.9190
2002-04-26,1640.5890
2002-04-29,1665.8120
2002-04-30,1667.7490
2002-05-08,1652.3680
2002-05-09,1650.5780
2002-05-10,1638.1980
2002-05-13,1623.9400
2002-05-14,1616.2310
2002-05-15,1598.3540
2002-05-16,1549.5010
2002-05-17,1567.4970
2002-05-20,1541.5300
2002-05-21,1588.1080
2002-05-22,1564.4890
2002-05-23,1571.6110
2002-05-24,1549.4660
2002-05-27,1555.0480
2002-05-28,1558.5240
2002-05-29,1524.8060
2002-05-30,1523.5220
2002-05-31,1515.7330
2002-06-03,1483.3480
2002-06-04,1490.5140
2002-06-05,1462.0000
2002-06-06,1521.2630
2002-06-07,1529.5070
2002-06-10,1517.2300
2002-06-11,1530.9630
2002-06-12,1524.8420
2002-06-13,1511.7110
2002-06-14,1494.2460
2002-06-17,1496.2420
2002-06-18,1524.0680
2002-06-19,1507.6680
2002-06-20,1516.1510
2002-06-21,1562.7220
2002-06-24,1707.3130
2002-06-25,1706.5910
2002-06-26,1712.9100
2002-06-27,1723.5450
2002-06-28,1732.7550
2002-07-01,1713.7050
2002-07-02,1724.9490
2002-07-03,1730.9190
2002-07-04,1713.1350
2002-07-05,1722.1880
2002-07-08,1732.9340
2002-07-09,1729.9860
2002-07-10,1701.8240
2002-07-11,1696.9400
2002-07-12,1698.2980
2002-07-15,1687.9450
2002-07-16,1691.6230
2002-07-17,1701.7180
2002-07-18,1704.9120
2002-07-19,1713.8610
2002-07-22,1681.0090
2002-07-23,1673.8610
2002-07-24,1672.4000
2002-07-25,1665.1090
2002-07-26,1657.4990
2002-07-29,1665.6740
2002-07-30,1669.0020
2002-07-31,1651.5940
2002-08-01,1653.0080
2002-08-02,1661.8710
2002-08-05,1653.9570
2002-08-06,1670.6190
2002-08-07,1668.0650
2002-08-08,1659.8020
2002-08-09,1647.0460
2002-08-12,1634.5660
2002-08-13,1636.6320
2002-08-14,1646.7220
2002-08-15,1634.3660
2002-08-16,1646.7920
2002-08-19,1644.3010
2002-08-20,1671.3510
2002-08-21,1673.5490
2002-08-22,1686.1110
2002-08-23,1683.2070
2002-08-26,1670.6850
2002-08-27,1679.6910
2002-08-28,1676.7700
2002-08-29,1667.3180
2002-08-30,1666.6180
2002-09-02,1668.7740
2002-09-03,1674.0700
2002-09-04,1663.9720
2002-09-05,1641.8070
2002-09-06,1631.3840
2002-09-09,1621.5820
2002-09-10,1625.1110
2002-09-11,1620.3550
2002-09-12,1624.5580
2002-09-13,1625.7590
2002-09-16,1604.0830
2002-09-17,1604.8810
2002-09-18,1594.5840
2002-09-19,1619.3540
2002-09-20,1604.9130
2002-09-23,1602.5910
2002-09-24,1596.7320
2002-09-25,1597.8370
2002-09-26,1587.6490
2002-09-27,1581.6180
2002-10-08,1562.9930
2002-10-09,1535.3660
2002-10-10,1530.4070
2002-10-11,1524.0510
2002-10-14,1531.6760
2002-10-15,1524.7280
2002-10-16,1537.3880
2002-10-17,1513.0970
2002-10-18,1519.5390
2002-10-21,1524.9250
2002-10-22,1548.1040
2002-10-23,1548.9650
2002-10-24,1536.5200
2002-10-25,1520.3130
2002-10-28,1502.7160
2002-10-29,1510.8820
2002-10-30,1509.7070
2002-10-31,1507.4960
2002-11-01,1510.7600
2002-11-04,1531.8420
2002-11-05,1558.2390
2002-11-06,1552.5610
2002-11-07,1554.2370
2002-11-08,1522.1870
2002-11-11,1504.4030
2002-11-12,1485.9130
2002-11-13,1490.4640
2002-11-14,1460.7950
2002-11-15,1463.6910
2002-11-18,1451.2900
2002-11-19,1462.1740
2002-11-20,1425.8430
2002-11-21,1390.6290
2002-11-22,1395.4970
2002-11-25,1398.4380
2002-11-26,1371.1670
2002-11-27,1378.7520
2002-11-28,1417.5250
2002-11-29,1434.1820
2002-12-02,1395.6750
2002-12-03,1408.8430
2002-12-04,1414.4540
2002-12-05,1404.8800
2002-12-06,1405.5250
2002-12-09,1400.8670
2002-12-10,1383.8400
2002-12-11,1379.1950
2002-12-12,1383.9100
2002-12-13,1396.8980
2002-12-16,1408.5150
2002-12-17,1416.0960
2002-12-18,1411.7190
2002-12-19,1413.5970
2002-12-20,1427.9360
2002-12-23,1430.1990
2002-12-24,1430.8270
2002-12-25,1421.5150
2002-12-26,1384.1520
2002-12-27,1382.9710
2002-12-30,1366.3620
2002-12-31,1357.6540
2003-01-02,1320.6300
2003-01-03,1319.8680
2003-01-06,1334.6790
2003-01-07,1332.0610
2003-01-08,1372.0670
2003-01-09,1397.3840
2003-01-10,1384.8590
2003-01-13,1386.3140
2003-01-14,1466.8510
2003-01-15,1459.9200
2003-01-16,1485.6180
2003-01-17,1478.6750
2003-01-20,1482.6810
2003-01-21,1454.8910
2003-01-22,1460.5300
2003-01-23,1450.6160
2003-01-24,1479.0700
2003-01-27,1496.1570
2003-01-28,1500.6390
2003-01-29,1499.8150
2003-02-10,1480.1690
2003-02-11,1492.7640
2003-02-12,1510.6710
2003-02-13,1504.3380
2003-02-14,1510.9500
2003-02-17,1496.5230
2003-02-18,1496.4680
2003-02-19,1510.8030
2003-02-20,1509.4860
2003-02-21,1478.8710
2003-02-24,1481.9360
2003-02-25,1511.2750
2003-02-26,1513.1750
2003-02-27,1513.7040
2003-02-28,1511.9320
2003-03-03,1525.4830
2003-03-04,1524.3040
2003-03-05,1517.1790
2003-03-06,1498.3430
2003-03-07,1493.0930
2003-03-10,1468.9190
2003-03-11,1469.5480
2003-03-12,1475.0080
2003-03-13,1464.6490
2003-03-14,1466.0440
2003-03-17,1469.2740
2003-03-18,1459.8920
2003-03-19,1469.9600
2003-03-20,1464.5400
2003-03-21,1474.6570
2003-03-24,1477.7660
2003-03-25,1462.4000
2003-03-26,1456.2710
2003-03-27,1499.3470
2003-03-28,1491.9410
2003-03-31,1510.5780
2003-04-01,1522.5460
2003-04-02,1521.3200
2003-04-03,1511.7290
2003-04-04,1521.1280
2003-04-07,1515.1320
2003-04-08,1520.5510
2003-04-09,1543.6740
2003-04-10,1551.1800
2003-04-11,1576.8600
2003-04-14,1616.0720
2003-04-15,1631.4700
2003-04-16,1606.2400
2003-04-17,1613.6040
2003-04-18,1603.0770
2003-04-21,1571.7140
2003-04-22,1568.6920
2003-04-23,1541.9600
2003-04-24,1503.5900
2003-04-25,1487.1470
2003-04-28,1537.6910
2003-04-29,1509.3130
2003-04-30,1521.4440
2003-05-12,1531.8670
2003-05-13,1485.3070
2003-05-14,1522.9240
2003-05-15,1555.2850
2003-05-16,1554.4520
2003-05-19,1555.4470
