,标普500
,SPX.GI
日期,收盘价
Date,close
2000-12-20,1264.7400
2000-12-21,1274.8600
2000-12-22,1305.9700
2000-12-25,1305.9700
2000-12-26,1315.1900
2000-12-27,1328.9200
2000-12-28,1334.2200
2000-12-29,1320.2800
2001-01-02,1283.2700
2001-01-03,1347.5600
2001-01-04,1333.3400
2001-01-05,1298.3500
2001-01-08,1295.8600
2001-01-09,1300.8000
2001-01-10,1313.2700
2001-01-11,1326.8200
2001-01-12,1318.3200
2001-01-15,1318.3200
2001-01-16,1326.6500
2001-01-17,1329.4700
2001-01-18,1347.9700
2001-01-19,1342.5400
2001-02-05,1354.3100
2001-02-06,1352.2600
2001-02-07,1340.8900
2001-02-08,1332.5300
2001-02-09,1314.7600
2001-02-12,1330.3100
2001-02-13,1318.8000
2001-02-14,1315.9200
2001-02-15,1326.6100
2001-02-16,1301.5300
2001-02-19,1301.5300
2001-02-20,1278.9400
2001-02-21,1255.2700
2001-02-22,1252.8200
2001-02-23,1245.8600
2001-02-26,1267.6500
2001-02-27,1257.9400
2001-02-28,1239.9400
2001-03-01,1241.2300
2001-03-02,1234.1800
2001-03-05,1241.4100
2001-03-06,1253.8000
2001-03-07,1261.8900
2001-03-08,1264.7400
2001-03-09,1233.4200
2001-03-12,1180.1600
2001-03-13,1197.6600
2001-03-14,1166.7100
2001-03-15,1173.5600
2001-03-16,1150.5300
2001-03-19,1170.8100
2001-03-20,1142.6200
2001-03-21,1122.1400
2001-03-22,1117.5800
2001-03-23,1139.8300
2001-03-26,1152.6900
2001-03-27,1182.1700
2001-03-28,1153.2900
2001-03-29,1147.9500
2001-03-30,1160.3300
2001-04-02,1145.8700
2001-04-03,1106.4600
2001-04-04,1103.2500
2001-04-05,1151.4400
2001-04-06,1128.4300
2001-04-09,1137.5900
2001-04-10,1168.3800
2001-04-11,1165.8900
2001-04-12,1183.5000
2001-04-13,1183.5000
2001-04-16,1179.6800
2001-04-17,1191.8100
2001-04-18,1238.1600
2001-04-19,1253.7000
2001-04-20,1242.9800
2001-04-23,1224.3600
2001-04-24,1209.4700
2001-04-25,1228.7500
2001-04-26,1234.5200
2001-04-27,1253.0500
2001-04-30,1249.4600
2001-05-08,1261.2000
2001-05-09,1255.5400
2001-05-10,1255.1800
2001-05-11,1245.6700
2001-05-14,1248.9200
2001-05-15,1249.4400
2001-05-16,1284.9900
2001-05-17,1288.4900
2001-05-18,1291.9600
2001-05-21,1312.8300
2001-05-22,1309.3800
2001-05-23,1289.0500
2001-05-24,1293.1700
2001-05-25,1277.8900
2001-05-28,1277.8900
2001-05-29,1267.9300
2001-05-30,1248.0800
2001-05-31,1255.8200
2001-06-01,1260.6700
2001-06-04,1267.1100
2001-06-05,1283.5700
2001-06-06,1270.0300
2001-06-07,1276.9600
2001-06-08,1264.9600
2001-06-11,1254.3900
2001-06-12,1255.8500
2001-06-13,1241.6000
2001-06-14,1219.8700
2001-06-15,1214.3600
2001-06-18,1208.4300
2001-06-19,1212.5800
2001-06-20,1223.1400
2001-06-21,1237.0400
2001-06-22,1225.3500
2001-06-25,1218.6000
2001-06-26,1216.7600
2001-06-27,1211.0700
2001-06-28,1226.2000
2001-06-29,1224.4200
2001-07-02,1236.7100
2001-07-03,1234.4500
2001-07-04,1234.4500
2001-07-05,1219.2400
2001-07-06,1190.5900
2001-07-09,1198.7800
2001-07-10,1181.5200
2001-07-11,1180.1800
2001-07-12,1208.1400
2001-07-13,1215.6800
2001-07-16,1202.4500
2001-07-17,1214.4400
2001-07-18,1207.7100
2001-07-19,1215.0200
2001-07-20,1210.8500
2001-07-23,1191.0300
2001-07-24,1171.6500
2001-07-25,1190.4900
2001-07-26,1202.9300
2001-07-27,1205.8200
2001-07-30,1204.5200
2001-07-31,1211.2300
2001-08-01,1215.9300
2001-08-02,1220.7500
2001-08-03,1214.3500
2001-08-06,1200.4800
2001-08-07,1204.4000
2001-08-08,1183.5300
2001-08-09,1183.4300
2001-08-10,1190.1600
2001-08-13,1191.2900
2001-08-14,1186.7300
2001-08-15,1178.0200
2001-08-16,1181.6600
2001-08-17,1161.9700
2001-08-20,1171.4100
2001-08-21,1157.2600
2001-08-22,1165.3100
2001-08-23,1162.0900
2001-08-24,1184.9300
2001-08-27,1179.2100
2001-08-28,1161.5100
2001-08-29,1148.6000
2001-08-30,1129.0300
2001-08-31,1133.5800
2001-09-03,1133.5800
2001-09-04,1132.9400
2001-09-05,1131.7400
2001-09-06,1106.4000
2001-09-07,1085.7800
2001-09-10,1092.5400
2001-09-11,1092.5400
2001-09-12,1092.5400
2001-09-13,1092.5400
2001-09-14,1092.5400
2001-09-17,1038.7700
2001-09-18,1032.7400
2001-09-19,1016.1000
2001-09-20,984.5400
2001-09-21,965.8000
2001-09-24,1003.4500
2001-09-25,1012.2700
2001-09-26,1007.0400
2001-09-27,1018.6100
2001-09-28,1040.9400
2001-10-08,1062.4400
2001-10-09,1056.7500
2001-10-10,1080.9900
2001-10-11,1097.4300
2001-10-12,1091.6500
2001-10-15,1089.9800
2001-10-16,1097.5400
2001-10-17,1077.0900
2001-10-18,1068.6100
2001-10-19,1073.4800
2001-10-22,1089.9000
2001-10-23,1084.7800
2001-10-24,1085.2000
2001-10-25,1100.0900
2001-10-26,1104.6100
2001-10-29,1078.3000
2001-10-30,1059.7900
2001-10-31,1059.7800
2001-11-01,1084.1000
2001-11-02,1087.2000
2001-11-05,1102.8400
2001-11-06,1118.8600
2001-11-07,1115.8000
2001-11-08,1118.5400
2001-11-09,1120.3100
2001-11-12,1118.3300
2001-11-13,1139.0900
2001-11-14,1141.2100
2001-11-15,1142.2400
2001-11-16,1138.6500
2001-11-19,1151.0600
2001-11-20,1142.6600
2001-11-21,1137.0300
2001-11-22,1137.0300
2001-11-23,1150.3400
2001-11-26,1157.4200
2001-11-27,1149.5000
2001-11-28,1128.5200
2001-11-29,1140.2000
2001-11-30,1139.4500
2001-12-03,1129.9000
2001-12-04,1144.8000
2001-12-05,1170.3500
2001-12-06,1167.1000
2001-12-07,1158.3100
2001-12-10,1139.9300
2001-12-11,1136.7600
2001-12-12,1137.0700
2001-12-13,1119.3800
2001-12-14,1123.0900
2001-12-17,1134.3600
2001-12-18,1142.9200
2001-12-19,1149.5600
2001-12-20,1139.9300
2001-12-21,1144.8900
2001-12-24,1144.6500
2001-12-25,1144.6500
2001-12-26,1149.3700
2001-12-27,1157.1300
2001-12-28,1161.0200
2001-12-31,1148.0800
2002-01-04,1172.5100
2002-01-07,1164.8900
2002-01-08,1160.7100
2002-01-09,1155.1400
2002-01-10,1156.5500
2002-01-11,1145.6000
2002-01-14,1138.4100
2002-01-15,1146.1900
2002-01-16,1127.5700
2002-01-17,1138.8800
2002-01-18,1127.5800
2002-01-21,1127.5800
2002-01-22,1119.3100
2002-01-23,1128.1800
2002-01-24,1132.1500
2002-01-25,1133.2800
2002-01-28,1133.0600
2002-01-29,1100.6400
2002-01-30,1113.5700
2002-01-31,1130.2000
2002-02-01,1122.2000
2002-02-04,1094.4400
2002-02-05,1090.0200
2002-02-06,1083.5100
2002-02-07,1080.1700
2002-02-08,1096.2200
2002-02-25,1109.4300
2002-02-26,1109.3800
2002-02-27,1109.8900
2002-02-28,1106.7300
2002-03-01,1131.7800
2002-03-04,1153.8400
2002-03-05,1146.1400
2002-03-06,1162.7700
2002-03-07,1157.5400
2002-03-08,1164.3100
2002-03-11,1168.2600
2002-03-12,1165.5800
2002-03-13,1154.0900
2002-03-14,1153.0400
2002-03-15,1166.1600
2002-03-18,1165.5500
2002-03-19,1170.2900
2002-03-20,1151.8500
2002-03-21,1153.5900
2002-03-22,1148.7000
2002-03-25,1131.8700
2002-03-26,1138.4900
2002-03-27,1144.5800
2002-03-28,1147.3900
2002-03-29,1147.3900
2002-04-01,1146.5400
2002-04-02,1136.7600
2002-04-03,1125.4000
2002-04-04,1126.3400
2002-04-05,1122.7300
2002-04-08,1125.2900
2002-04-09,1117.8000
2002-04-10,1130.4600
2002-04-11,1103.6900
2002-04-12,1111.0100
2002-04-15,1102.5500
2002-04-16,1128.3700
2002-04-17,1126.0700
2002-04-18,1124.4700
2002-04-19,1125.1700
2002-04-22,1107.8300
2002-04-23,1100.9600
2002-04-24,1093.1400
2002-04-25,1091.4800
2002-04-26,1076.3200
2002-04-29,1065.4500
2002-04-30,1076.9200
2002-05-08,1088.8500
2002-05-09,1073.0100
2002-05-10,1054.9900
2002-05-13,1074.5600
2002-05-14,1097.2800
2002-05-15,1091.0700
2002-05-16,1098.2300
2002-05-17,1106.5900
2002-05-20,1091.8800
2002-05-21,1079.8800
2002-05-22,1086.0200
2002-05-23,1097.0800
2002-05-24,1083.8200
2002-05-27,1083.8200
2002-05-28,1074.5500
2002-05-29,1067.6600
2002-05-30,1064.6600
2002-05-31,1067.1400
2002-06-03,1040.6800
2002-06-04,1040.6900
2002-06-05,1049.9000
2002-06-06,1029.1500
2002-06-07,1027.5300
2002-06-10,1030.7400
2002-06-11,1013.6000
2002-06-12,1020.2600
2002-06-13,1009.5600
2002-06-14,1007.2700
2002-06-17,1036.1700
2002-06-18,1037.1400
2002-06-19,1019.9900
2002-06-20,1006.2900
2002-06-21,989.1400
2002-06-24,992.7200
2002-06-25,976.1400
2002-06-26,973.5300
2002-06-27,990.6400
2002-06-28,989.8100
2002-07-01,968.6500
2002-07-02,948.0900
2002-07-03,953.9900
2002-07-04,953.9900
2002-07-05,989.0300
2002-07-08,976.9800
2002-07-09,952.8300
2002-07-10,920.4700
2002-07-11,927.3700
2002-07-12,921.3900
2002-07-15,917.9300
2002-07-16,901.0500
2002-07-17,906.0400
2002-07-18,881.5600
2002-07-19,847.7600
2002-07-22,819.8500
2002-07-23,797.7000
2002-07-24,843.4200
2002-07-25,838.6800
2002-07-26,852.8400
2002-07-29,898.9600
2002-07-30,902.7800
2002-07-31,911.6200
2002-08-01,884.6600
2002-08-02,864.2400
2002-08-05,834.6000
2002-08-06,859.5700
2002-08-07,876.7700
2002-08-08,905.4600
2002-08-09,908.6400
2002-08-12,903.8000
2002-08-13,884.2100
2002-08-14,919.6200
2002-08-15,930.2500
2002-08-16,928.7700
2002-08-19,950.7200
2002-08-20,937.4300
2002-08-21,949.3600
2002-08-22,962.7000
2002-08-23,940.8600
2002-08-26,947.9500
2002-08-27,934.8200
2002-08-28,917.8700
2002-08-29,917.8000
2002-08-30,916.0700
2002-09-02,916.0700
2002-09-03,878.0200
2002-09-04,893.4000
2002-09-05,879.1500
2002-09-06,893.9200
2002-09-09,902.9600
2002-09-10,909.5800
2002-09-11,909.4500
2002-09-12,886.9100
2002-09-13,889.8100
2002-09-16,891.1000
2002-09-17,873.5200
2002-09-18,869.4600
2002-09-19,843.3200
2002-09-20,845.3900
2002-09-23,833.7000
2002-09-24,819.2900
2002-09-25,839.6600
2002-09-26,854.9500
2002-09-27,827.3700
2002-10-08,798.5500
2002-10-09,776.7600
2002-10-10,803.9200
2002-10-11,835.3200
2002-10-14,841.4400
2002-10-15,881.2700
2002-10-16,860.0200
2002-10-17,879.2000
2002-10-18,884.3900
2002-10-21,899.7200
2002-10-22,890.1600
2002-10-23,896.1400
2002-10-24,882.5000
2002-10-25,897.6500
2002-10-28,890.2300
2002-10-29,882.1500
2002-10-30,890.7100
2002-10-31,885.7600
2002-11-01,900.9600
2002-11-04,908.3500
2002-11-05,915.3900
2002-11-06,923.7600
2002-11-07,902.6500
2002-11-08,894.7400
2002-11-11,876.1900
2002-11-12,882.9500
2002-11-13,882.5300
2002-11-14,904.2700
2002-11-15,909.8300
2002-11-18,900.3600
2002-11-19,896.7400
2002-11-20,914.1500
2002-11-21,933.7600
2002-11-22,930.5500
2002-11-25,932.8800
2002-11-26,913.3100
2002-11-27,938.8700
2002-11-28,938.8700
2002-11-29,936.3100
2002-12-02,934.5300
2002-12-03,920.7500
2002-12-04,917.5700
2002-12-05,906.5500
2002-12-06,912.2300
2002-12-09,892.0000
2002-12-10,904.4500
2002-12-11,904.9600
2002-12-12,901.5900
2002-12-13,889.4800
2002-12-16,910.4000
2002-12-17,902.9900
2002-12-18,891.1200
2002-12-19,884.2500
2002-12-20,895.7500
2002-12-23,897.3800
2002-12-24,892.4700
2002-12-25,892.4700
2002-12-26,889.6600
2002-12-27,875.4000
2002-12-30,879.3900
2002-12-31,879.8200
2003-01-02,909.0300
2003-01-03,908.5900
2003-01-06,929.0100
2003-01-07,922.9300
2003-01-08,909.9300
2003-01-09,927.5800
2003-01-10,927.5700
2003-01-13,926.2600
2003-01-14,931.6600
2003-01-15,918.2200
2003-01-16,914.6000
2003-01-17,901.7800
2003-01-20,901.7800
2003-01-21,887.6200
2003-01-22,878.3600
2003-01-23,887.3400
2003-01-24,861.4000
2003-01-27,847.4800
2003-01-28,858.5400
2003-01-29,864.3600
2003-02-10,835.9700
2003-02-11,829.2000
2003-02-12,818.6800
2003-02-13,817.3700
2003-02-14,834.8900
2003-02-17,834.8900
2003-02-18,851.1700
2003-02-19,845.1300
2003-02-20,837.1000
2003-02-21,848.1700
2003-02-24,832.5800
2003-02-25,838.5700
2003-02-26,827.5500
2003-02-27,837.2800
2003-02-28,841.1500
2003-03-03,834.8100
2003-03-04,821.9900
2003-03-05,829.8500
2003-03-06,822.1000
2003-03-07,828.8900
2003-03-10,807.4800
2003-03-11,800.7300
2003-03-12,804.1900
2003-03-13,831.9000
2003-03-14,833.2700
2003-03-17,862.7900
2003-03-18,866.4500
2003-03-19,874.0200
2003-03-20,875.6700
2003-03-21,895.7900
2003-03-24,864.2300
2003-03-25,874.7400
2003-03-26,869.9500
2003-03-27,868.5200
2003-03-28,863.5000
2003-03-31,848.1800
2003-04-01,858.4800
2003-04-02,880.9000
2003-04-03,876.4500
2003-04-04,878.8500
2003-04-07,879.9300
2003-04-08,878.2900
2003-04-09,865.9900
2003-04-10,871.5800
2003-04-11,868.3000
2003-04-14,885.2300
2003-04-15,890.8100
2003-04-16,879.9100
2003-04-17,893.5800
2003-04-18,893.5800
2003-04-21,892.0100
2003-04-22,911.3700
2003-04-23,919.0200
2003-04-24,911.4300
2003-04-25,898.8100
2003-04-28,914.8400
2003-04-29,917.8400
2003-04-30,916.9200
2003-05-12,945.1100
2003-05-13,942.3000
2003-05-14,939.2800
2003-05-15,946.6700
2003-05-16,944.3000
2003-05-19,920.7700
2003-05-20,919.7300
2003-05-21,923.4200
2003-05-22,931.8700
2003-05-23,933.2200
2003-05-26,933.2200
2003-05-27,951.4800
2003-05-28,953.2200
2003-05-29,949.6400
2003-05-30,963.5900
2003-06-02,967.0000
2003-06-03,971.5600
2003-06-04,986.2400
2003-06-05,990.1400
2003-06-06,987.7600
2003-06-09,975.9300
2003-06-10,984.8400
2003-06-11,997.4800
2003-06-12,998.5100
2003-06-13,988.6100
2003-06-16,1010.7400
2003-06-17,1011.6600
2003-06-18,1010.0900
2003-06-19,994.7000
2003-06-20,995.6900
2003-06-23,981.6400
2003-06-24,983.4500
2003-06-25,975.3200
2003-06-26,985.8200
2003-06-27,976.2200
2003-06-30,974.5000
2003-07-01,982.3200
2003-07-02,993.7500
2003-07-03,985.7000
2003-07-04,985.7000
2003-07-07,1004.4200
2003-07-08,1007.8400
2003-07-09,1002.2100
2003-07-10,988.7000
2003-07-11,998.1400
2003-07-14,1003.8600
2003-07-15,1000.4200
2003-07-16,994.0000
2003-07-17,981.7300
2003-07-18,993.3200
2003-07-21,978.8000
2003-07-22,988.1100
2003-07-23,988.6100
2003-07-24,981.6000
2003-07-25,998.6800
2003-07-28,996.5200
2003-07-29,989.2800
2003-07-30,987.4900
2003-07-31,990.3100
2003-08-01,980.1500
2003-08-04,982.8200
2003-08-05,965.4600
2003-08-06,967.0800
2003-08-07,974.1200
2003-08-08,977.5900
2003-08-11,980.5900
2003-08-12,990.3500
2003-08-13,984.0300
2003-08-14,990.5100
2003-08-15,990.6700
2003-08-18,999.7400
2003-08-19,1002.3500
2003-08-20,1000.3000
2003-08-21,1003.2700
2003-08-22,993.0600
2003-08-25,993.7100
2003-08-26,996.7300
2003-08-27,996.7900
2003-08-28,1002.8400
2003-08-29,1008.0100
2003-09-01,1008.0100
2003-09-02,1021.9900
2003-09-03,1026.2700
2003-09-04,1027.9700
2003-09-05,1021.3900
2003-09-08,1031.6400
2003-09-09,1023.1700
2003-09-10,1010.9200
2003-09-11,1016.4200
2003-09-12,1018.6300
2003-09-15,1014.8100
2003-09-16,1029.3200
2003-09-17,1025.9700
2003-09-18,1039.5800
2003-09-19,1036.3000
