,收盘价
,close
日期,中证500
Date,000905.SH
2009-02-05,2384.7640
2009-02-06,2493.7400
2009-02-09,2579.2280
2009-02-10,2653.2130
2009-02-11,2658.0500
2009-02-12,2707.9220
2009-02-13,2805.0100
2009-02-16,2854.4440
2009-02-17,2738.5800
2009-02-18,2632.9080
2009-02-19,2687.4890
2009-02-20,2776.9550
2009-02-23,2871.7920
2009-02-24,2754.2400
2009-02-25,2771.0980
2009-02-26,2571.2760
2009-02-27,2416.9490
2009-03-02,2478.8080
2009-03-03,2499.8260
2009-03-04,2651.4050
2009-03-05,2671.5750
2009-03-06,2653.4690
2009-03-09,2536.0100
2009-03-10,2601.4170
2009-03-11,2587.3710
2009-03-12,2597.2320
2009-03-13,2569.6290
2009-03-16,2603.0580
2009-03-17,2699.5940
2009-03-18,2734.5470
2009-03-19,2797.1550
2009-03-20,2784.1060
2009-03-23,2843.8790
2009-03-24,2865.3330
2009-03-25,2785.6640
2009-03-26,2853.4110
2009-03-27,2877.8800
2009-03-30,2883.2140
2009-03-31,2914.1280
2009-04-01,2962.8390
2009-04-02,2965.7350
2009-04-03,2934.2530
2009-04-07,2968.5190
2009-04-08,2867.1680
2009-04-09,2915.0240
2009-04-10,3009.3760
2009-04-13,3050.3720
2009-04-14,3099.4290
2009-04-15,3143.8210
2009-04-16,3159.2600
2009-04-17,3119.4190
2009-04-20,3205.8840
2009-04-21,3205.0760
2009-04-22,3042.6380
2009-04-23,3059.7090
2009-04-24,3036.7610
2009-04-27,2916.1140
2009-04-28,2959.9520
2009-04-29,3040.0400
2009-04-30,3086.2170
2009-05-04,3190.2540
2009-05-05,3220.6150
2009-05-06,3264.5790
2009-05-07,3242.6260
2009-05-08,3257.5880
2009-05-11,3134.5730
2009-05-12,3212.1390
2009-05-13,3234.1510
2009-05-14,3246.5570
2009-05-15,3270.7380
2009-05-18,3295.6510
2009-05-19,3325.5310
2009-05-20,3306.4740
2009-05-21,3247.4750
2009-05-22,3254.5340
2009-05-25,3271.5010
2009-05-26,3274.8490
2009-05-27,3276.7480
2009-06-01,3332.3370
2009-06-02,3353.9220
2009-06-03,3380.1880
2009-06-04,3375.8730
2009-06-05,3355.7780
2009-06-08,3350.2380
2009-06-09,3366.9110
2009-06-10,3403.2080
2009-06-11,3382.9970
2009-06-12,3309.5870
2009-06-15,3356.7140
2009-06-16,3349.3500
2009-06-17,3403.9620
2009-06-18,3431.2810
2009-06-19,3434.0550
2009-06-22,3405.1300
2009-06-23,3392.1120
2009-06-24,3431.4440
2009-06-25,3427.4730
2009-06-26,3448.4610
2009-06-29,3476.7880
2009-06-30,3452.2630
2009-07-01,3503.7540
2009-07-02,3540.5090
2009-07-03,3584.8580
2009-07-06,3592.6400
2009-07-07,3589.1870
2009-07-08,3633.4330
2009-07-09,3701.7900
2009-07-10,3719.9700
2009-07-13,3754.3440
2009-07-14,3813.8760
2009-07-15,3848.6320
2009-07-16,3829.2070
2009-07-17,3852.8630
2009-07-20,3919.4260
2009-07-21,3824.2880
2009-07-22,3894.5630
2009-07-23,3933.1130
2009-07-24,3907.9670
2009-07-27,3972.6440
2009-07-28,4022.9100
2009-07-29,3764.6400
2009-07-30,3803.1240
2009-07-31,3928.5840
2009-08-03,4020.2660
2009-08-04,4069.3460
2009-08-05,4069.3380
2009-08-06,4015.4210
2009-08-07,3893.1250
2009-08-10,3933.0470
2009-08-11,3953.2930
2009-08-12,3770.1370
2009-08-13,3778.1400
2009-08-14,3609.6980
2009-08-17,3358.1030
2009-08-18,3424.7750
2009-08-19,3247.5260
2009-08-20,3374.3510
2009-08-21,3468.0420
2009-08-24,3541.8040
2009-08-25,3485.9240
2009-08-26,3595.1150
2009-08-27,3629.5130
2009-08-28,3531.4100
2009-08-31,3277.9970
2009-09-01,3245.2740
2009-09-02,3265.0740
2009-09-03,3427.4420
2009-09-04,3489.0630
2009-09-07,3527.2540
2009-09-08,3592.8060
2009-09-09,3613.4100
2009-09-10,3581.6830
2009-09-11,3641.8160
2009-09-14,3736.5760
2009-09-15,3775.2130
2009-09-16,3781.0640
2009-09-17,3868.6670
2009-09-18,3739.7320
2009-09-21,3804.3310
2009-09-22,3708.1990
2009-09-23,3595.7060
2009-09-24,3568.6690
2009-09-25,3536.8110
2009-09-28,3434.6550
2009-09-29,3372.0740
2009-09-30,3400.6230
2009-10-09,3576.4440
2009-10-12,3597.8630
2009-10-13,3659.0810
2009-10-14,3692.6480
2009-10-15,3704.4040
2009-10-16,3716.8970
2009-10-19,3808.1810
2009-10-20,3865.8320
2009-10-21,3839.9470
2009-10-22,3855.7680
2009-10-23,3908.4350
2009-10-26,3911.6530
2009-10-27,3807.9760
2009-10-28,3846.4150
2009-10-29,3777.5050
2009-10-30,3827.6830
2009-11-02,3955.7830
2009-11-03,4053.2120
2009-11-04,4083.4820
2009-11-05,4125.7810
2009-11-06,4145.1370
2009-11-09,4176.1880
2009-11-10,4182.7700
2009-11-11,4199.5490
2009-11-12,4213.2450
2009-11-13,4267.0080
2009-11-16,4364.9730
2009-11-17,4387.5520
2009-11-18,4406.7790
2009-11-19,4476.1380
2009-11-20,4508.2930
2009-11-23,4591.3390
2009-11-24,4347.6570
2009-11-25,4512.0800
2009-11-26,4328.4080
2009-11-27,4215.3380
2009-11-30,4405.3280
2009-12-01,4525.2880
2009-12-02,4591.3840
2009-12-03,4621.9410
2009-12-04,4506.0820
2009-12-07,4581.2420
2009-12-08,4571.7640
2009-12-09,4498.1520
2009-12-10,4536.5570
2009-12-11,4534.7630
2009-12-14,4513.5940
2009-12-15,4523.4930
2009-12-16,4506.0390
2009-12-17,4364.9260
2009-12-18,4203.4800
2009-12-21,4256.3890
2009-12-22,4136.8220
2009-12-23,4210.1730
2009-12-24,4345.2960
2009-12-25,4376.1930
2009-12-28,4447.2050
2009-12-29,4463.6040
2009-12-30,4446.0670
2009-12-31,4485.2550
2010-01-04,4510.5270
2010-01-05,4557.4750
2010-01-06,4550.2790
2010-01-07,4459.1550
2010-01-08,4514.4520
2010-01-11,4542.9490
2010-01-12,4639.6320
2010-01-13,4591.0240
2010-01-14,4714.1000
2010-01-15,4747.6480
2010-01-18,4829.0620
2010-01-19,4830.0160
2010-01-20,4651.0740
2010-01-21,4667.2090
2010-01-22,4537.8800
2010-01-25,4481.1600
2010-01-26,4294.3830
2010-01-27,4267.1130
2010-01-28,4336.3810
2010-01-29,4374.6490
2010-02-01,4331.3660
2010-02-02,4301.7680
2010-02-03,4363.0790
2010-02-04,4408.4410
